Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,,Fredrik Lian,,Fredrik Skånøy,"21/14,21/15",Fredrik Lian,
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,,Fredrik Lian,,Fredrik Skånøy,"21/14,21/15",Fredrik Lian,
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,,Andrea Løvold,,Karoline Lerengen,"21/16,21/8",Andrea Løvold,
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,,Helle Sofie Sagøy,,Majken Wærdahl,"21/17,21/13",Helle Sofie Sagøy,
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,,Andrea Løvold,,Helle Sofie Sagøy,"21/13,21/19",Andrea Løvold,
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,,Karoline Lerengen,,Majken Wærdahl,"21/15,21/16",Karoline Lerengen,
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,,Helle Sofie Sagøy,,Karoline Lerengen,"21/15,9/21,21/19",Helle Sofie Sagøy,
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,,Andrea Løvold,,Majken Wærdahl,"21/15,21/11",Andrea Løvold,
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,Fredrik Lian,Robin Kruksve Krux,Amund Skavhaug,Robert Barø,"21/18,21/13",Fredrik Lian,Robin Kruksve Krux
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,Ingalill Mikalsen,Karoline Lerengen,Sophie Larsen,Lena Falch,"21/13,21/11",Ingalill Mikalsen,Karoline Lerengen
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,Andrea Løvold,Helle Sofie Sagøy,Nordis Østerås Sandberg,Julie Kristin Vatterholm,"21/10,21/16",Andrea Løvold,Helle Sofie Sagøy
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,Andrea Løvold,Helle Sofie Sagøy,Ingalill Mikalsen,Karoline Lerengen,"21/15,21/9",Andrea Løvold,Helle Sofie Sagøy
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,Nordis Østerås Sandberg,Julie Kristin Vatterholm,Sophie Larsen,Lena Falch,"21/14,21/16",Nordis Østerås Sandberg,Julie Kristin Vatterholm
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,Andrea Løvold,Helle Sofie Sagøy,Sophie Larsen,Lena Falch,"21/5,21/9",Andrea Løvold,Helle Sofie Sagøy
2015/2016,Klæbu Trønderdroppen 2015,24.10.2015,SEN A,Ingalill Mikalsen,Karoline Lerengen,Nordis Østerås Sandberg,Julie Kristin Vatterholm,"21/7,21/14",Ingalill Mikalsen,Karoline Lerengen
