Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Ling Zhuang Zeng,,Rodrigo Carvalho Ribeiro,"21/17,21/11",Ling Zhuang Zeng,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Ling Zhuang Zeng,,Fredrik Lian,"19/21,21/15,21/15",Ling Zhuang Zeng,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Gonçalo Ribeiro,,Oliver George Creese,"21/17,21/11",Gonçalo Ribeiro,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Ling Zhuang Zeng,,Gonçalo Ribeiro,"15/21,21/19,21/19",Ling Zhuang Zeng,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Fredrik Lian,,Oliver George Creese,"21/19,21/14",Fredrik Lian,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Ling Zhuang Zeng,,Oliver George Creese,"21/16,21/13",Ling Zhuang Zeng,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Gonçalo Ribeiro,,Fredrik Lian,"21/14,17/21,21/16",Gonçalo Ribeiro,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Ole Petter Øren,,Atle Wikran,"21/16,21/16",Ole Petter Øren,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Rodrigo Carvalho Ribeiro,,Øyvind W. Selboe,"21/19,21/10",Rodrigo Carvalho Ribeiro,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Øyvind W. Selboe,,Atle Wikran,"21/9,21/13",Øyvind W. Selboe,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Rodrigo Carvalho Ribeiro,,Ole Petter Øren,"21/18,21/18",Rodrigo Carvalho Ribeiro,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Rodrigo Carvalho Ribeiro,,Atle Wikran,"21/14,21/10",Rodrigo Carvalho Ribeiro,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Herresingle,,Øyvind W. Selboe,,Ole Petter Øren,"18/21,21/10,21/11",Øyvind W. Selboe,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Damesingle,,Ronja H. Thorstensen,,Dianne Christine Geronimo,"21/11,21/14",Ronja H. Thorstensen,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Damesingle,,Ronja H. Thorstensen,,Marte Stokkaune,"12/21,21/13,21/19",Ronja H. Thorstensen,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Damesingle,,Marte Stokkaune,,Dianne Christine Geronimo,"21/15,21/12",Marte Stokkaune,
2022/2023,Klæbu Trønderdroppen 2022,04.11.2022,SEN A,Damesingle,,Ronja H. Thorstensen,,Ingvild Håland,"21/17,25/27,21/12",Ronja H. Thorstensen,
