Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Kai Roger Stensen,,Fredrik Skånøy,"21/17,19/21,21/12",Kai Roger Stensen,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Kai Roger Stensen,,Henrik Buvik,"21/15,21/13",Kai Roger Stensen,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Fredrik Skånøy,,Erik Måøy,"21/14,21/17",Fredrik Skånøy,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Fredrik Skånøy,,Sondre Løvold,"21/8,21/12",Fredrik Skånøy,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Fredrik Skånøy,,Andreas Nordhøy,"17/21,21/7,21/13",Fredrik Skånøy,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Sondre Løvold,,Erik Måøy,"13/21,22/20,21/19",Sondre Løvold,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Andreas Nordhøy,,Erik Måøy,"21/8,21/12",Andreas Nordhøy,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Andreas Nordhøy,,Sondre Løvold,"21/7,21/15",Andreas Nordhøy,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Henrik Buvik,,Are Eidissen,"21/18,21/8",Henrik Buvik,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Benjamin Rølvåg,,Are Eidissen,"21/9,21/16",Benjamin Rølvåg,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Henrik Buvik,,Benjamin Rølvåg,"21/15,21/16",Henrik Buvik,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Are Eidissen,,Morten Solberg,"21/19,21/8",Are Eidissen,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Henrik Buvik,,Morten Solberg,"21/8,21/7",Henrik Buvik,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Kai Roger Stensen,,Jonas Midtøy,"21/15,23/21",Kai Roger Stensen,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Kai Roger Stensen,,Robert Barø,"21/18,21/5",Kai Roger Stensen,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Herman Dalan  Eidissen,,Jonas Midtøy,"21/15,19/21,21/19",Herman Dalan  Eidissen,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Robert Barø,,Jonas Midtøy,"22/20,22/20",Robert Barø,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Herman Dalan  Eidissen,,Robert Barø,"23/21,21/17",Herman Dalan  Eidissen,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herresingle,,Kai Roger Stensen,,Herman Dalan  Eidissen,"21/9,21/10",Kai Roger Stensen,
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herredouble,Andreas Nordhøy,Henrik Buvik,Jens Asmund Solheim,Fredrik Skånøy,"21/11,19/21,21/17",Andreas Nordhøy,Henrik Buvik
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herredouble,Jens Asmund Solheim,Fredrik Skånøy,Benjamin Rølvåg,Sander Johansen,"21/16,21/14",Jens Asmund Solheim,Fredrik Skånøy
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herredouble,Fred Moen,Erik Måøy,Sondre Løvold,Sven Arild Strøm,"21/19,19/21,21/17",Fred Moen,Erik Måøy
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herredouble,Jens Asmund Solheim,Fredrik Skånøy,Sondre Løvold,Sven Arild Strøm,"21/18,21/19",Jens Asmund Solheim,Fredrik Skånøy
2021/2022,Kolvereid Knut Liland Køpp 2021,29.07.2021,SEN A,Herredouble,Jens Asmund Solheim,Fredrik Skånøy,Fred Moen,Erik Måøy,"21/16,21/13",Jens Asmund Solheim,Fredrik Skånøy
