Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Marius Myhre,,Peter Rønn Stensæth,"21/9,21/10",Marius Myhre,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Marius Myhre,,Carl Christian Hem,"21/5,21/8",Marius Myhre,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Peter Rønn Stensæth,,Markus Barth,"21/11,21/12",Peter Rønn Stensæth,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Marius Myhre,,Vegard Rikheim,"21/5,21/11",Marius Myhre,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Carl Christian Hem,,Carl Christian Møller Jacobsen,"14/21,21/17,21/8",Carl Christian Hem,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Markus Barth,,Torjus Flåtten,"21/18,21/9",Markus Barth,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Peter Rønn Stensæth,,Mattias Xu,"21/12,24/22",Peter Rønn Stensæth,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Marius Myhre,,Jonas Østhassel,"21/5,21/10",Marius Myhre,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Vegard Rikheim,,Eirik Paulsen,"21/12,21/16",Vegard Rikheim,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Carl Christian Hem,,Jørgen Rosenlund,"18/21,21/16,21/8",Carl Christian Hem,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Carl Christian Møller Jacobsen,,Simen Lexander,"16/21,21/19,21/17",Carl Christian Møller Jacobsen,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Markus Barth,,Tobias Krømke,"21/5,21/4",Markus Barth,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Torjus Flåtten,,Toheed Ahmed Saeed,"21/10,21/19",Torjus Flåtten,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Mattias Xu,,Karl Ødegård,"21/13,21/14",Mattias Xu,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Peter Rønn Stensæth,,Hans-Christian Marthinsen,"21/17,21/6",Peter Rønn Stensæth,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Marius Myhre,,Øystein Hovden Eimind,"21/7,21/2",Marius Myhre,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Jonas Østhassel,,Trond Atle Syvertsen,"21/7,21/18",Jonas Østhassel,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Vegard Rikheim,,Christoffer Hamnes,"21/4,21/11",Vegard Rikheim,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Eirik Paulsen,,Benjamin Falck,"21/5,21/10",Eirik Paulsen,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Jørgen Rosenlund,,Gjermund Hagen,"21/13,21/5",Jørgen Rosenlund,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Carl Christian Hem,,Christian Fossmo,"21/15,21/11",Carl Christian Hem,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Carl Christian Møller Jacobsen,,Joachim Skjønhaug,"21/19,3/21,21/18",Carl Christian Møller Jacobsen,
2016/2017,Kristiansand NM 2017,03.02.2017,SEN E,,Simen Lexander,,Sigbjørn Honve,"21/8,20/22,21/16",Simen Lexander,
