Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Peter Rønn Stensæth,,Torjus Flåtten,"13/21,21/15,21/13",Peter Rønn Stensæth,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Peter Rønn Stensæth,,Mattias Xu,"21/5,21/16",Peter Rønn Stensæth,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Torjus Flåtten,,Danila Gataullin,"21/10,21/7",Torjus Flåtten,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Peter Rønn Stensæth,,Kevin Elson,"21/10,21/7",Peter Rønn Stensæth,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Mattias Xu,,Jonas Østhassel,"3/21,21/14,21/9",Mattias Xu,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Torjus Flåtten,,Mads Marum,"21/19,21/11",Torjus Flåtten,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Danila Gataullin,,Herman Ruud,"21/12,21/7",Danila Gataullin,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Peter Rønn Stensæth,,Keveen Kumar Balasingam,"21/9,21/12",Peter Rønn Stensæth,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Kevin Elson,,Toheed Ahmed Saeed,"21/19,16/21,21/18",Kevin Elson,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Mattias Xu,,Isak L. Hasselvold,"21/7,21/10",Mattias Xu,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Jonas Østhassel,,Trygve Ellingsen,"21/15,27/29,21/14",Jonas Østhassel,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Mads Marum,,Arild Mevatne,"21/16,21/8",Mads Marum,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Torjus Flåtten,,Ludvig Smith-Meyer,"21/11,21/5",Torjus Flåtten,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Danila Gataullin,,Martin Grøtterød,"21/15,19/21,21/10",Danila Gataullin,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Herman Ruud,,Adrian Storhaug,"21/11,20/22,21/13",Herman Ruud,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Peter Rønn Stensæth,,Markus  Markussen d Nijs,"21/6,21/3",Peter Rønn Stensæth,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Keveen Kumar Balasingam,,Henrik Gabrielsen Opsahl,"21/18,21/13",Keveen Kumar Balasingam,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Toheed Ahmed Saeed,,Tarjei Sveen,"21/13,21/15",Toheed Ahmed Saeed,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Jonas Østhassel,,Tobias Krømke,"21/18,21/13",Jonas Østhassel,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Trygve Ellingsen,,Thomas Berge,"21/17,21/19",Trygve Ellingsen,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Arild Mevatne,,Fredrik Vabø Helset,"16/21,21/15,21/17",Arild Mevatne,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Mads Marum,,Øystein Hovden Eimind,"21/16,21/10",Mads Marum,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Martin Grøtterød,,Amund Rikheim Huus,"14/21,21/14,21/12",Martin Grøtterød,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Ludvig Smith-Meyer,,Carlo Alonzo Agustin,"21/18,21/17",Ludvig Smith-Meyer,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Torjus Flåtten,,Olav Sagård Roalkvam,"21/9,21/3",Torjus Flåtten,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Danila Gataullin,,Bharath Kumar Balasingam,"21/15,21/17",Danila Gataullin,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Adrian Storhaug,,Sondre Frøyland,"21/17,21/19",Adrian Storhaug,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Kevin Elson,,Simen  Kokkvoll,"21/17,22/20",Kevin Elson,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Trygve Ellingsen,,Joachim Skjønhaug,"18/21,21/16,21/11",Trygve Ellingsen,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herresingle,,Arild Mevatne,,Halvdan Solvåg Nesse,"21/7,21/6",Arild Mevatne,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Emma Wåland,,Vera Botcharova Ellingsen,"21/9,21/8",Emma Wåland,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Emma Wåland,,Sofia Louis Macsali,"21/17,21/19",Emma Wåland,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Vera Botcharova Ellingsen,,Stine Andersen,"22/20,20/22,21/10",Vera Botcharova Ellingsen,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Emma Wåland,,Emilie Sotnes Hamang,"13/21,21/17,21/11",Emma Wåland,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Sofia Louis Macsali,,Marie  Mørk,"21/19,21/11",Sofia Louis Macsali,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Vera Botcharova Ellingsen,,Cecilie Li,"21/11,21/12",Vera Botcharova Ellingsen,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Stine Andersen,,Marthe Skaug,"23/21,21/12",Stine Andersen,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Emilie Sotnes Hamang,,Julie Grande Ødegårdstuen,"21/5,21/12",Emilie Sotnes Hamang,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Emma Wåland,,Mariann Andreassen,"21/10,21/8",Emma Wåland,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Marie  Mørk,,Rikke Karlsen,"15/21,21/13,21/8",Marie  Mørk,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Sofia Louis Macsali,,Emilia Petersen Norberg,"21/16,21/14",Sofia Louis Macsali,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Cecilie Li,,June  Bøhn,"21/13,22/20",Cecilie Li,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Marthe Skaug,,Vilde Morvik Ekerhovd,"21/8,21/13",Marthe Skaug,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Stine Andersen,,Henny Lyfjell,"21/13,21/13",Stine Andersen,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Sofia Louis Macsali,,Kristina Andersen,"21/11,21/16",Sofia Louis Macsali,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Vilde Morvik Ekerhovd,,Tyra Friisenfeldt,"21/16,9/21,21/9",Vilde Morvik Ekerhovd,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Emma Wåland,,Jenny Rajkumar,"21/18,18/21,21/15",Emma Wåland,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damesingle,,Marie  Mørk,,Thea Vatne,"21/6,21/3",Marie  Mørk,
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Carl Christian Mork,Sturla Flåten Jørgensen,Peter Rønn Stensæth,Torjus Flåtten,"21/15,21/16",Carl Christian Mork,Sturla Flåten Jørgensen
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Carl Christian Mork,Sturla Flåten Jørgensen,Mattias Xu,Mads Marum,"21/18,21/14",Carl Christian Mork,Sturla Flåten Jørgensen
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Peter Rønn Stensæth,Torjus Flåtten,Martin Grøtterød,Tobias Krømke,"21/14,21/18",Peter Rønn Stensæth,Torjus Flåtten
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Carl Christian Mork,Sturla Flåten Jørgensen,Danila Gataullin,Ludvig Smith-Meyer,"21/10,21/13",Carl Christian Mork,Sturla Flåten Jørgensen
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Mattias Xu,Mads Marum,Amund Rikheim Huus,Øystein Hovden Eimind,"21/16,21/8",Mattias Xu,Mads Marum
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Martin Grøtterød,Tobias Krømke,Markus  Markussen d Nijs,Kevin Elson,"21/14,21/17",Martin Grøtterød,Tobias Krømke
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Peter Rønn Stensæth,Torjus Flåtten,Jonas Østhassel,Simen  Kokkvoll,"21/11,21/14",Peter Rønn Stensæth,Torjus Flåtten
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Carl Christian Mork,Sturla Flåten Jørgensen,Henrik Gabrielsen Opsahl,Arild Mevatne,"21/8,21/2",Carl Christian Mork,Sturla Flåten Jørgensen
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Danila Gataullin,Ludvig Smith-Meyer,Bharath Kumar Balasingam,Keveen Kumar Balasingam,"21/19,21/10",Danila Gataullin,Ludvig Smith-Meyer
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Mattias Xu,Mads Marum,Toheed Ahmed Saeed,Joachim Skjønhaug,"21/15,21/13",Mattias Xu,Mads Marum
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Amund Rikheim Huus,Øystein Hovden Eimind,Adrian Storhaug,Thomas Berge,"21/15,21/19",Amund Rikheim Huus,Øystein Hovden Eimind
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Markus  Markussen d Nijs,Kevin Elson,Halvdan Solvåg Nesse,Herman Ruud,"21/17,21/11",Markus  Markussen d Nijs,Kevin Elson
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Martin Grøtterød,Tobias Krømke,Fredrik Vabø Helset,Sondre Frøyland,"21/12,21/9",Martin Grøtterød,Tobias Krømke
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Jonas Østhassel,Simen  Kokkvoll,Carlo Alonzo Agustin,Trygve Ellingsen,"21/13,21/19",Jonas Østhassel,Simen  Kokkvoll
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Herredouble,Peter Rønn Stensæth,Torjus Flåtten,Olav Sagård Roalkvam,Isak L. Hasselvold,"21/4,21/11",Peter Rønn Stensæth,Torjus Flåtten
2018/2019,Kristiansand U23-mesterskapet,05.10.2018,SEN E,Damedouble,Sofia Louis Macsali,Emilia Petersen Norberg,Vera Botcharova Ellingsen,Marthe Skaug,"21/16,21/17",Sofia Louis Macsali,Emilia Petersen Norberg
