Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Torjus Flåtten,,Carlo Alonzo Agustin,"21/8,21/4",Torjus Flåtten,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Torjus Flåtten,,Shubham,"20/22,21/16,21/18",Torjus Flåtten,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Carlo Alonzo Agustin,,Bharath Kumar Balasingam,"21/12,21/14",Carlo Alonzo Agustin,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Torjus Flåtten,,Amund Rikheim Huus,"21/8,21/16",Torjus Flåtten,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Shubham,,Hampus Lilja,"21/15,21/16",Shubham,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Bharath Kumar Balasingam,,Ole Kristian Lie,"21/17,17/21,21/18",Bharath Kumar Balasingam,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Carlo Alonzo Agustin,,Jørgen Rosenlund,"23/21,21/17",Carlo Alonzo Agustin,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Torjus Flåtten,,Henrik Frende Lavik-Haug,"21/4,21/8",Torjus Flåtten,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Amund Rikheim Huus,,Sindre Gjuvsland,"21/11,21/11",Amund Rikheim Huus,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Shubham,,Heine Lam Nybakk,"21/9,21/11",Shubham,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Hampus Lilja,,Nikolai Svensson,"21/14,8/21,21/13",Hampus Lilja,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Ole Kristian Lie,,Adit Sharma,"11/21,21/14,21/9",Ole Kristian Lie,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Bharath Kumar Balasingam,,Jiawen Shi,"21/16,21/11",Bharath Kumar Balasingam,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Carlo Alonzo Agustin,,Sturla Flåten Jørgensen,"18/21,21/12,21/11",Carlo Alonzo Agustin,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herresingle,,Jørgen Rosenlund,,Tirakom Sonjamroen,"21/14,21/8",Jørgen Rosenlund,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Randi Selle,,Emma Yasmin Ruud,"21/9,21/13",Randi Selle,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Emma Yasmin Ruud,,Melanie Antonella Matland,"22/24,21/13,21/16",Emma Yasmin Ruud,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Randi Selle,,Dianne Christine Geronimo,"21/13,21/9",Randi Selle,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Juli Helen Johansen Klungtveit,,Dianne Christine Geronimo,"22/20,21/14",Juli Helen Johansen Klungtveit,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Randi Selle,,Juli Helen Johansen Klungtveit,"21/12,21/14",Randi Selle,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Melanie Antonella Matland,,Filippa Nordkvist,"17/21,21/6,21/14",Melanie Antonella Matland,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Filippa Nordkvist,,Gülser Selin Kilinc,"21/9,22/20",Filippa Nordkvist,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Melanie Antonella Matland,,Gülser Selin Kilinc,"18/21,21/17,21/11",Melanie Antonella Matland,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Emma Yasmin Ruud,,Iris Hagen,"21/6,21/13",Emma Yasmin Ruud,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Iris Hagen,,Anine Halvorsen Egge,"21/8,21/11",Iris Hagen,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damesingle,,Emma Yasmin Ruud,,Anine Halvorsen Egge,"21/16,21/7",Emma Yasmin Ruud,
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Torjus Flåtten,Casper Gustavsen,Amund Rikheim Huus,Mattias Xu,"21/13,21/16",Torjus Flåtten,Casper Gustavsen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Torjus Flåtten,Casper Gustavsen,Nikolai Svensson,Fredrik Kristensen,"21/11,21/14",Torjus Flåtten,Casper Gustavsen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Amund Rikheim Huus,Mattias Xu,Sturla Flåten Jørgensen,Jiawen Shi,"21/14,21/14",Amund Rikheim Huus,Mattias Xu
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Sturla Flåten Jørgensen,Jiawen Shi,Herman Kolstø,Elias Øyen Selsaas,"21/14,21/17",Sturla Flåten Jørgensen,Jiawen Shi
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Sindre Gjuvsland,Heine Lam Nybakk,Tirakom Sonjamroen,Andreas Haglund,"21/12,21/11",Sindre Gjuvsland,Heine Lam Nybakk
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Torjus Flåtten,Casper Gustavsen,Sindre Gjuvsland,Heine Lam Nybakk,"21/12,21/13",Torjus Flåtten,Casper Gustavsen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Torjus Flåtten,Casper Gustavsen,Tirakom Sonjamroen,Andreas Haglund,"21/12,21/11",Torjus Flåtten,Casper Gustavsen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Carlo Alonzo Agustin,Jan Petter Lindland,Tarjei Sveen,Haavard Haugebo,"21/14,21/15",Carlo Alonzo Agustin,Jan Petter Lindland
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Nikolai Svensson,Fredrik Kristensen,Tarjei Sveen,Haavard Haugebo,"21/4,21/12",Nikolai Svensson,Fredrik Kristensen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Nikolai Svensson,Fredrik Kristensen,Carlo Alonzo Agustin,Jan Petter Lindland,"21/15,21/8",Nikolai Svensson,Fredrik Kristensen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Henrik Frende Lavik-Haug,Ole Kristian Lie,Bharath Kumar Balasingam,Keveen Kumar Balasingam,"9/21,21/18,21/14",Henrik Frende Lavik-Haug,Ole Kristian Lie
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Sturla Flåten Jørgensen,Jiawen Shi,Bharath Kumar Balasingam,Keveen Kumar Balasingam,"22/20,21/18",Sturla Flåten Jørgensen,Jiawen Shi
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Sturla Flåten Jørgensen,Jiawen Shi,Henrik Frende Lavik-Haug,Ole Kristian Lie,"14/21,21/12,21/13",Sturla Flåten Jørgensen,Jiawen Shi
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Adit Sharma,Varun Manikandan,Amund Lind,Måns Anders Lund Mabäcker,"21/17,21/17",Adit Sharma,Varun Manikandan
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Herman Kolstø,Elias Øyen Selsaas,Adit Sharma,Varun Manikandan,"21/15,24/22",Herman Kolstø,Elias Øyen Selsaas
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Herman Kolstø,Elias Øyen Selsaas,Amund Lind,Måns Anders Lund Mabäcker,"21/9,21/8",Herman Kolstø,Elias Øyen Selsaas
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Shubham,Haakon Lærkerød Jelsness,Jørgen Rosenlund,Martin Enghaug,"21/14,21/18",Shubham,Haakon Lærkerød Jelsness
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Amund Rikheim Huus,Mattias Xu,Shubham,Haakon Lærkerød Jelsness,"21/12,21/7",Amund Rikheim Huus,Mattias Xu
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Herredouble,Amund Rikheim Huus,Mattias Xu,Jørgen Rosenlund,Martin Enghaug,"21/13,21/17",Amund Rikheim Huus,Mattias Xu
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Melanie Antonella Matland,Dianne Christine Geronimo,Anine Halvorsen Egge,Juli Helen Johansen Klungtveit,"21/17,16/21,21/19",Melanie Antonella Matland,Dianne Christine Geronimo
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Vilma Aasheim-Engen,Emma Yasmin Ruud,Filippa Nordkvist,Stina Connedal,"21/9,21/5",Vilma Aasheim-Engen,Emma Yasmin Ruud
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Anine Halvorsen Egge,Juli Helen Johansen Klungtveit,Filippa Nordkvist,Stina Connedal,"21/9,21/16",Anine Halvorsen Egge,Juli Helen Johansen Klungtveit
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Solvår S Flåten Jørgensen,Randi Selle,Vilma Aasheim-Engen,Emma Yasmin Ruud,"21/13,21/8",Solvår S Flåten Jørgensen,Randi Selle
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Solvår S Flåten Jørgensen,Randi Selle,Filippa Nordkvist,Stina Connedal,"21/8,21/6",Solvår S Flåten Jørgensen,Randi Selle
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Vilma Aasheim-Engen,Emma Yasmin Ruud,Melanie Antonella Matland,Dianne Christine Geronimo,"21/19,21/15",Vilma Aasheim-Engen,Emma Yasmin Ruud
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Melanie Antonella Matland,Dianne Christine Geronimo,Filippa Nordkvist,Stina Connedal,"21/17,21/5",Melanie Antonella Matland,Dianne Christine Geronimo
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Solvår S Flåten Jørgensen,Randi Selle,Anine Halvorsen Egge,Juli Helen Johansen Klungtveit,"21/8,21/14",Solvår S Flåten Jørgensen,Randi Selle
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Vilma Aasheim-Engen,Emma Yasmin Ruud,Anine Halvorsen Egge,Juli Helen Johansen Klungtveit,"21/7,21/18",Vilma Aasheim-Engen,Emma Yasmin Ruud
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Damedouble,Solvår S Flåten Jørgensen,Randi Selle,Melanie Antonella Matland,Dianne Christine Geronimo,"21/11,21/8",Solvår S Flåten Jørgensen,Randi Selle
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Mixeddouble,Jørgen Rosenlund,Solvår S Flåten Jørgensen,Mattias Xu,Marie Christensen,"21/14,21/18",Jørgen Rosenlund,Solvår S Flåten Jørgensen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Mixeddouble,Mattias Xu,Marie Christensen,Carlo Alonzo Agustin,Randi Selle,"14/21,21/16,21/14",Mattias Xu,Marie Christensen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Mixeddouble,Jørgen Rosenlund,Solvår S Flåten Jørgensen,Sturla Flåten Jørgensen,Iris Hagen,"21/12,21/17",Jørgen Rosenlund,Solvår S Flåten Jørgensen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Mixeddouble,Mattias Xu,Marie Christensen,Anine Halvorsen Egge,Heine Lam Nybakk,"21/13,21/10",Mattias Xu,Marie Christensen
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Mixeddouble,Vilma Aasheim-Engen,Varun Manikandan,Anine Halvorsen Egge,Heine Lam Nybakk,"21/9,21/11",Vilma Aasheim-Engen,Varun Manikandan
2024/2025,Moss Infintum Julecup Bredde & RT U17* + Sen E,29.11.2024,SEN E,Mixeddouble,Mattias Xu,Marie Christensen,Vilma Aasheim-Engen,Varun Manikandan,"21/9,21/11",Mattias Xu,Marie Christensen
