Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Moss UBM,31.03.2017,U15 A,,Danila Gataullin,,Amund Rikheim Huus,"21/15,21/10",Danila Gataullin,
2016/2017,Moss UBM,31.03.2017,U15 A,,Amund Rikheim Huus,,Ludvig Smith-Meyer,"22/20,15/21,21/19",Amund Rikheim Huus,
2016/2017,Moss UBM,31.03.2017,U15 A,,Danila Gataullin,,Simon Vedaa,"21/12,21/12",Danila Gataullin,
2016/2017,Moss UBM,31.03.2017,U15 A,,Ludvig Smith-Meyer,,Michael White,"21/7,21/12",Ludvig Smith-Meyer,
2016/2017,Moss UBM,31.03.2017,U15 A,,Amund Rikheim Huus,,Adam Kvarenes Bjørnestøl,"21/17,21/15",Amund Rikheim Huus,
2016/2017,Moss UBM,31.03.2017,U15 A,,Simon Vedaa,,Kristoffer Ulvang,"21/16,21/13",Simon Vedaa,
2016/2017,Moss UBM,31.03.2017,U15 A,,Danila Gataullin,,Kevin Elson,"21/15,21/14",Danila Gataullin,
2016/2017,Moss UBM,31.03.2017,U15 A,,Ludvig Smith-Meyer,,Rafid Ishaq,"21/11,21/7",Ludvig Smith-Meyer,
2016/2017,Moss UBM,31.03.2017,U15 A,,Michael White,,Noa Norden,"21/15,21/13",Michael White,
2016/2017,Moss UBM,31.03.2017,U15 A,,Amund Rikheim Huus,,Edvard Berdal Eek,"21/7,21/11",Amund Rikheim Huus,
2016/2017,Moss UBM,31.03.2017,U15 A,,Adam Kvarenes Bjørnestøl,,John Nguyen,"21/11,21/12",Adam Kvarenes Bjørnestøl,
2016/2017,Moss UBM,31.03.2017,U15 A,,Kristoffer Ulvang,,Andreas Holmedal,"21/8,22/24,21/12",Kristoffer Ulvang,
2016/2017,Moss UBM,31.03.2017,U15 A,,Simon Vedaa,,Sverre Bergland jr,"21/13,21/11",Simon Vedaa,
2016/2017,Moss UBM,31.03.2017,U15 A,,Kevin Elson,,Jens Karlsen,"21/12,21/16",Kevin Elson,
2016/2017,Moss UBM,31.03.2017,U15 A,,Danila Gataullin,,Tobias Tønnessen,"21/9,21/7",Danila Gataullin,
2016/2017,Moss UBM,31.03.2017,U15 A,,Ludvig Smith-Meyer,,Theodor Fjelldal,"21/9,21/3",Ludvig Smith-Meyer,
2016/2017,Moss UBM,31.03.2017,U15 A,,Rafid Ishaq,,Elias Øyen Selsaas,"21/8,21/11",Rafid Ishaq,
2016/2017,Moss UBM,31.03.2017,U15 A,,Michael White,,Zhongyan Yu,"21/4,21/10",Michael White,
2016/2017,Moss UBM,31.03.2017,U15 A,,Noa Norden,,Sondre Berg Angell,"21/10,21/7",Noa Norden,
2016/2017,Moss UBM,31.03.2017,U15 A,,Amund Rikheim Huus,,Herman Ruud,"21/11,21/13",Amund Rikheim Huus,
2016/2017,Moss UBM,31.03.2017,U15 A,,Edvard Berdal Eek,,Elias Lenning,"11/21,21/19,21/8",Edvard Berdal Eek,
2016/2017,Moss UBM,31.03.2017,U15 A,,John Nguyen,,Felix Frithjof Piene,"21/11,21/8",John Nguyen,
2016/2017,Moss UBM,31.03.2017,U15 A,,Adam Kvarenes Bjørnestøl,,Petter Tryland Laheld,"21/13,21/12",Adam Kvarenes Bjørnestøl,
2016/2017,Moss UBM,31.03.2017,U15 A,,Andreas Holmedal,,Advait Mital,"23/21,19/21,21/9",Andreas Holmedal,
2016/2017,Moss UBM,31.03.2017,U15 A,,Kristoffer Ulvang,,Mattias Mørk,"21/10,21/11",Kristoffer Ulvang,
