Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Markus Barth,,Jonas Østhassel,"21/6,21/10",Markus Barth,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Markus Barth,,Ludvig Smith-Meyer,"21/11,21/15",Markus Barth,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Jonas Østhassel,,Danila Gataullin,"21/15,21/18",Jonas Østhassel,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Markus Barth,,Henrik Gabrielsen Opsahl,"21/1,21/9",Markus Barth,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Ludvig Smith-Meyer,,Amund Rikheim Huus,"21/12,21/7",Ludvig Smith-Meyer,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Danila Gataullin,,Andreas Andersen,"21/14,16/21,21/10",Danila Gataullin,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Jonas Østhassel,,Bharath Kumar Balasingam,"21/18,21/17",Jonas Østhassel,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Markus Barth,,Petter Tryland Laheld,"21/8,21/6",Markus Barth,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Henrik Gabrielsen Opsahl,,Isak L. Hasselvold,"26/24,19/21,21/13",Henrik Gabrielsen Opsahl,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Ludvig Smith-Meyer,,Michael White,"21/16,21/10",Ludvig Smith-Meyer,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Amund Rikheim Huus,,Theodor Fjelldal,"21/15,21/13",Amund Rikheim Huus,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Andreas Andersen,,Hermod Holte Haugland,"22/15,24/22",Andreas Andersen,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Danila Gataullin,,Boyan Yu,"21/11,21/11",Danila Gataullin,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Bharath Kumar Balasingam,,Bjørn Deron,"21/4,21/10",Bharath Kumar Balasingam,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Jonas Østhassel,,Petter Berntsen,"21/9,21/14",Jonas Østhassel,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Hermod Holte Haugland,,Markus  Markussen d Nijs,"21/17,21/19",Hermod Holte Haugland,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Andreas Andersen,,Elias Øyen Selsaas,"21/19,18/21,21/12",Andreas Andersen,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Boyan Yu,,Simen  Kokkvoll,"21/11,21/18",Boyan Yu,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Danila Gataullin,,Benjamin Teigland,"21/6,21/11",Danila Gataullin,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Bjørn Deron,,Thomas Iversen,"15/21,21/18,21/18",Bjørn Deron,
2018/2019,NBF NM Junior (Ungdomslekene),03.05.2019,U19 A,Herresingle,,Bharath Kumar Balasingam,,Erlend Engesæter Bognøy,"21/18,21/9",Bharath Kumar Balasingam,
