Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Torjus Flåtten,,Carl Christian Mork,"21/15,22/20",Torjus Flåtten,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Torjus Flåtten,,Vegard Rikheim,"21/17,21/12",Torjus Flåtten,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Carl Christian Mork,,Peter Rønn Stensæth,"21/17,14/21,21/13",Carl Christian Mork,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Torjus Flåtten,,Karl Ødegård,"21/10,21/11",Torjus Flåtten,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Vegard Rikheim,,Mads Marum,"21/11,20/22,21/16",Vegard Rikheim,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Peter Rønn Stensæth,,Kristian Gården,"21/12,21/16",Peter Rønn Stensæth,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Carl Christian Mork,,Markus Barth,"21/10,22/20",Carl Christian Mork,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Torjus Flåtten,,Martin Grøtterød,"21/4,21/17",Torjus Flåtten,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Karl Ødegård,,Benjamin Sixten Nordén,"21/14,21/10",Karl Ødegård,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Vegard Rikheim,,Matius Wijaya,"21/5,21/11",Vegard Rikheim,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Mads Marum,,Gjermund Hagen,"21/7,10/21,21/16",Mads Marum,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Kristian Gården,,Robin Thorstensen,"21/16,21/16",Kristian Gården,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Peter Rønn Stensæth,,Lasse Nyheim,"21/4,21/11",Peter Rønn Stensæth,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Carl Christian Mork,,Henrik Skjønhaug,"21/9,21/7",Carl Christian Mork,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Torjus Flåtten,,Toheed Ahmed Saeed,"21/4,21/15",Torjus Flåtten,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Martin Grøtterød,,Andreas Gjerde,"21/18,21/15",Martin Grøtterød,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Benjamin Sixten Nordén,,Rubab Ishmam,"14/21,21/9,21/17",Benjamin Sixten Nordén,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Vegard Rikheim,,Dusan Nikolic,"21/9,21/9",Vegard Rikheim,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Mads Marum,,Ole Herman Imset,"21/16,21/19",Mads Marum,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Robin Thorstensen,,Christoffer Ripegutu,"21/18,21/14",Robin Thorstensen,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Kristian Gården,,Finn Moen,"21/16,21/5",Kristian Gården,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Lasse Nyheim,,Jiawen Shi,"21/13,21/14",Lasse Nyheim,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Peter Rønn Stensæth,,Thomas Sjursen,"21/9,21/9",Peter Rønn Stensæth,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Tobias Krømke,,Arild Mevatne,"21/19,24/22",Tobias Krømke,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Markus Barth,,Simen Solberg,"21/9,21/11",Markus Barth,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Henrik Skjønhaug,,Ivan Hegseth,"21/15,21/12",Henrik Skjønhaug,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Carl Christian Mork,,Christoffer Hamnes,"21/7,21/8",Carl Christian Mork,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Martin Grøtterød,,Nikolay Magnus Avenstroup,"25/23,21/18",Martin Grøtterød,
2014/2015,NBF NM junior 2015 (ungd.lekene),17.04.2015,U19 A,,Tobias Krømke,,Erlend Lade Støylen,"21/1,21/9",Tobias Krømke,
