Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Petter Tryland Laheld,,William R. Barø,"21/12,21/11",Petter Tryland Laheld,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Petter Tryland Laheld,,Øyvind W. Selboe,"21/12,21/12",Petter Tryland Laheld,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Kai Roger Stensen,,William R. Barø,"21/6,21/11",Kai Roger Stensen,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Petter Tryland Laheld,,Kai Roger Stensen,"21/18,19/21,21/16",Petter Tryland Laheld,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Petter Tryland Laheld,,Jesse Stekelenburg,"21/13,21/5",Petter Tryland Laheld,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Øyvind W. Selboe,,Gard Vik Langhammer,"21/18,21/19",Øyvind W. Selboe,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Jesse Stekelenburg,,Øyvind W. Selboe,"21/4,21/15",Jesse Stekelenburg,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Petter Tryland Laheld,,Gard Vik Langhammer,"21/11,21/16",Petter Tryland Laheld,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Jesse Stekelenburg,,Gard Vik Langhammer,"21/14,21/11",Jesse Stekelenburg,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,William R. Barø,,Gaétan Bouthors,"21/9,21/17",William R. Barø,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,William R. Barø,,Kristoffer Kielland Rædergård,"21/13,21/10",William R. Barø,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Gaétan Bouthors,,Alan Tsui,"21/16,21/13",Gaétan Bouthors,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Gaétan Bouthors,,Kristoffer Kielland Rædergård,"22/20,23/25,21/17",Gaétan Bouthors,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,William R. Barø,,Alan Tsui,"21/11,21/11",William R. Barø,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Alan Tsui,,Kristoffer Kielland Rædergård,"21/18,13/21,21/19",Alan Tsui,
2024/2025,NTNUI NTNUI Open,08.03.2025,SEN E,Herresingle,,Kai Roger Stensen,,Knut Hermann Stenvaag,"21/14,21/10",Kai Roger Stensen,
