Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Fredrik Skånøy,,Kent Roger Sandvær,"11/21,21/18,21/8",Fredrik Skånøy,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Håvard Soløy,,Torleiv Hov Grønbech,"21/14,21/19",Håvard Soløy,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Torleiv Hov Grønbech,,Kent Roger Sandvær,"21/14,21/13",Torleiv Hov Grønbech,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Fredrik Skånøy,,Henry Ulvang,"21/18,11/21,21/16",Fredrik Skånøy,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Håvard Soløy,,Henry Ulvang,"21/8,21/5",Håvard Soløy,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Fredrik Skånøy,,Torleiv Hov Grønbech,"20/22,22/20,24/22",Fredrik Skånøy,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Håvard Soløy,,Kent Roger Sandvær,"21/16,21/16",Håvard Soløy,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Torleiv Hov Grønbech,,Henry Ulvang,"21/18,17/21,25/23",Torleiv Hov Grønbech,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Henry Ulvang,,Kent Roger Sandvær,"21/18,21/12",Henry Ulvang,
2016/2017,Nesna Nesnasmashen 2017,17.03.2017,SEN A,Herresingle,,Håvard Soløy,,Fredrik Skånøy,"21/12,21/11",Håvard Soløy,
