Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Herresingle,,Gonçalo Ribeiro,,Fredrik Lian,"21/16,21/15",Gonçalo Ribeiro,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Herresingle,,Gonçalo Ribeiro,,Nils Even Urkedal,"21/8,21/12",Gonçalo Ribeiro,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Herresingle,,Gonçalo Ribeiro,,Robert Sulebakk,"21/6,21/6",Gonçalo Ribeiro,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Herresingle,,Fredrik Lian,,Noralf Gamlem,"21/7,21/19",Fredrik Lian,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Herresingle,,Christian Asbjørnsen,,Noralf Gamlem,"23/21,21/11",Christian Asbjørnsen,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Herresingle,,Fredrik Lian,,Christian Asbjørnsen,"21/16,18/21,21/9",Fredrik Lian,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Heidi Hartmann,,Ronja Hartmann,"21/9,21/16",Heidi Hartmann,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Ronja Hartmann,,Ragnhild Stenvaag,"21/15,21/23,21/17",Ronja Hartmann,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Heidi Hartmann,,Trine Sperre,"21/16,21/15",Heidi Hartmann,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Ragnhild Stenvaag,,Gunn Fiskergaard,"21/16,21/19",Ragnhild Stenvaag,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Gunn Fiskergaard,,Ronja Hartmann,"21/16,22/24,21/17",Gunn Fiskergaard,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Heidi Hartmann,,Ragnhild Stenvaag,"21/12,18/21,21/12",Heidi Hartmann,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Trine Sperre,,Ronja Hartmann,"21/15,21/13",Trine Sperre,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Heidi Hartmann,,Gunn Fiskergaard,"21/12,21/9",Heidi Hartmann,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Damesingle,,Ragnhild Stenvaag,,Trine Sperre,"14/21,21/14,21/11",Ragnhild Stenvaag,
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Herredouble,Robert Sulebakk,Gonçalo Ribeiro,Fredrik Lian,Nils Even Urkedal,"21/14,21/16",Robert Sulebakk,Gonçalo Ribeiro
2023/2024,Norborg NorborgCupen 2023,11.11.2023,SEN A,Herredouble,Per Ivar Furholm,Noralf Gamlem,Christian Asbjørnsen,Glenn Humlen,"21/14,21/14",Per Ivar Furholm,Noralf Gamlem
