Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Thomas Pedersen,,Robert Sulebakk,"21/12,21/18",Thomas Pedersen,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Robert Sulebakk,,Gunn Fiskergaard,"21/15,21/12",Robert Sulebakk,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Thomas Pedersen,,Per Ivar Furholm,"21/11,21/14",Thomas Pedersen,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Thomas Pedersen,,Rune Enoksen,"21/7,21/10",Thomas Pedersen,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Robert Sulebakk,,Rune Enoksen,"21/12,21/14",Robert Sulebakk,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Thomas Pedersen,,Tor Stenvaag,"21/9,21/9",Thomas Pedersen,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Tor Stenvaag,,Rune Enoksen,"21/12,21/7",Tor Stenvaag,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Robert Sulebakk,,Thomas Pedersen,"20/22,21/18,21/18",Robert Sulebakk,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Robert Sulebakk,,Tor Stenvaag,"21/16,21/14",Robert Sulebakk,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Trine Sperre,,Gunn Fiskergaard,"21/18,21/16",Trine Sperre,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Gunn Fiskergaard,,Ørjan Emil Strand,"22/20,22/20",Gunn Fiskergaard,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Per Ivar Furholm,,Trine Sperre,"21/7,21/9",Per Ivar Furholm,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Ørjan Emil Strand,,Trine Sperre,"21/19,21/18",Ørjan Emil Strand,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Per Ivar Furholm,,Gunn Fiskergaard,"21/17,21/18",Per Ivar Furholm,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herresingle,,Per Ivar Furholm,,Ørjan Emil Strand,"21/15,21/14",Per Ivar Furholm,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herredouble,Lars Valentin,Thomas Pedersen,Ørjan Emil Strand,Tor Stenvaag,"21/12,21/4",Lars Valentin,Thomas Pedersen
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herredouble,Per Ivar Furholm,"Runar Tandstad, ikke i bruk",Rune Enoksen,Øyvind Støylen,"21/12,12/21,21/15",Per Ivar Furholm,"Runar Tandstad, ikke i bruk"
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herredouble,Per Ivar Furholm,"Runar Tandstad, ikke i bruk",Ørjan Emil Strand,Tor Stenvaag,"21/18,21/17",Per Ivar Furholm,"Runar Tandstad, ikke i bruk"
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herredouble,Lars Valentin,Thomas Pedersen,Rune Enoksen,Øyvind Støylen,"21/12,21/15",Lars Valentin,Thomas Pedersen
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herredouble,Lars Valentin,Thomas Pedersen,Per Ivar Furholm,"Runar Tandstad, ikke i bruk","21/14,21/15",Lars Valentin,Thomas Pedersen
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Herredouble,Ørjan Emil Strand,Tor Stenvaag,Rune Enoksen,Øyvind Støylen,"23/21,21/19",Ørjan Emil Strand,Tor Stenvaag
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Damedouble,Randi Ulla Nogva,Trine Sperre,Cecilie Welle Bay,Elisabeth Hjellegjerde Skog,"21/15,21/16",Randi Ulla Nogva,Trine Sperre
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Damedouble,Randi Ulla Nogva,Trine Sperre,Gunn Fiskergaard,Sissel W. Schmidt,"21/16,21/12",Randi Ulla Nogva,Trine Sperre
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Damedouble,Gunn Fiskergaard,Sissel W. Schmidt,Cecilie Welle Bay,Elisabeth Hjellegjerde Skog,"21/14,23/21",Gunn Fiskergaard,Sissel W. Schmidt
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Trine Sperre,Thomas Pedersen,Lars Valentin,Sissel W. Schmidt,"21/14,10/21,22/20",Trine Sperre,Thomas Pedersen
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Robert Sulebakk,Inger Margrethe Midtlid,Rune Enoksen,Cecilie Welle Bay,"21/18,14/21,21/13",Robert Sulebakk,Inger Margrethe Midtlid
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Trine Sperre,Thomas Pedersen,Per Ivar Furholm,Elisabeth Hjellegjerde Skog,"21/18,21/12",Trine Sperre,Thomas Pedersen
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Per Ivar Furholm,Elisabeth Hjellegjerde Skog,Rune Enoksen,Cecilie Welle Bay,"15/21,21/14,21/17",Per Ivar Furholm,Elisabeth Hjellegjerde Skog
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Trine Sperre,Thomas Pedersen,Rune Enoksen,Cecilie Welle Bay,"21/13,21/12",Trine Sperre,Thomas Pedersen
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Robert Sulebakk,Inger Margrethe Midtlid,Lars Valentin,Sissel W. Schmidt,"22/20,21/8",Robert Sulebakk,Inger Margrethe Midtlid
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Lars Valentin,Sissel W. Schmidt,Per Ivar Furholm,Elisabeth Hjellegjerde Skog,"21/13,21/16",Lars Valentin,Sissel W. Schmidt
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Lars Valentin,Sissel W. Schmidt,Rune Enoksen,Cecilie Welle Bay,"21/13,21/16",Lars Valentin,Sissel W. Schmidt
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Trine Sperre,Thomas Pedersen,Robert Sulebakk,Inger Margrethe Midtlid,"21/16,21/19",Trine Sperre,Thomas Pedersen
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN A,Mixeddouble,Robert Sulebakk,Inger Margrethe Midtlid,Per Ivar Furholm,Elisabeth Hjellegjerde Skog,"21/13,14/21,21/12",Robert Sulebakk,Inger Margrethe Midtlid
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN B,Herresingle,,Per Gunnar Søvik,,Runar Tandstad,"19/21,21/19,21/17",Per Gunnar Søvik,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN B,Herresingle,,Runar Tandstad,,Daniel Ask,"16/21,23/21,24/22",Runar Tandstad,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN B,Herresingle,,Per Gunnar Søvik,,Sander Espeseth,"21/14,21/10",Per Gunnar Søvik,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN B,Herresingle,,Runar Tandstad,,Glenn Humlen,"21/13,21/9",Runar Tandstad,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN B,Herresingle,,Sander Espeseth,,Glenn Humlen,"22/24,21/18,21/7",Sander Espeseth,
2015/2016,Norborg Sparebanken Møre Cup,14.11.2015,SEN B,Herresingle,,Runar Tandstad,,Sander Espeseth,"21/10,21/19",Runar Tandstad,
