Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Advait Mital,"21/11,21/15",Carl Christian Møller Jacobsen,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Andy Hang,,Pål Endre Pedersen,"21/14,21/16",Andy Hang,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Advait Mital,,Pål Endre Pedersen,"11/21,21/18,21/11",Advait Mital,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Advait Mital,,Andy Hang,"21/16,21/11",Advait Mital,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Jan Malamant,,Haakon Lærkerød Jelsness,"21/8,21/16",Jan Malamant,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Dennis Zhongyan Yu,"21/10,21/13",Carl Christian Møller Jacobsen,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Jan Malamant,,Dennis Zhongyan Yu,"21/10,16/21,21/16",Jan Malamant,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Haakon Lærkerød Jelsness,"21/11,21/14",Carl Christian Møller Jacobsen,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Jan Malamant,"21/11,21/11",Carl Christian Møller Jacobsen,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herresingle,,Dennis Zhongyan Yu,,Haakon Lærkerød Jelsness,"21/16,22/20",Dennis Zhongyan Yu,
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Jiawen Shi,Andy Hang,Christian S. Johnsen,Per Stener Vestli,"21/10,22/20",Jiawen Shi,Andy Hang
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Jiawen Shi,Andy Hang,Rishi Arvind Phatak,Carl Christian Møller Jacobsen,"21/18,21/18",Jiawen Shi,Andy Hang
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Christian S. Johnsen,Per Stener Vestli,Tan Quach Le,Erling Homme,"21/12,21/19",Christian S. Johnsen,Per Stener Vestli
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Rishi Arvind Phatak,Carl Christian Møller Jacobsen,Takluun  Yuen,Kenneth Bayeng Sanglay,"21/11,14/21,21/10",Rishi Arvind Phatak,Carl Christian Møller Jacobsen
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Christian S. Johnsen,Per Stener Vestli,Pål Endre Pedersen,Jan Malamant,"13/21,21/11,21/18",Christian S. Johnsen,Per Stener Vestli
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Christian S. Johnsen,Per Stener Vestli,Timothée Le,Victoria Zhang,"12/21,21/19,21/17",Christian S. Johnsen,Per Stener Vestli
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Jiawen Shi,Andy Hang,Christian S. Johnsen,Per Stener Vestli,"21/13,21/15",Jiawen Shi,Andy Hang
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Jiawen Shi,Andy Hang,Timothée Le,Victoria Zhang,"21/17,21/12",Jiawen Shi,Andy Hang
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Takluun  Yuen,Kenneth Bayeng Sanglay,Hari Shankar Chembeti,Kenneth salvadhoor,"9/21,21/15,21/15",Takluun  Yuen,Kenneth Bayeng Sanglay
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Pål Endre Pedersen,Jan Malamant,Hari Shankar Chembeti,Kenneth salvadhoor,"21/19,21/18",Pål Endre Pedersen,Jan Malamant
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Pål Endre Pedersen,Jan Malamant,Takluun  Yuen,Kenneth Bayeng Sanglay,"21/19,21/14",Pål Endre Pedersen,Jan Malamant
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Rishi Arvind Phatak,Carl Christian Møller Jacobsen,Samraat Zingha Ramachandran,Vishwavasu Soorly Nagaraj,"21/14,21/11",Rishi Arvind Phatak,Carl Christian Møller Jacobsen
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Tan Quach Le,Erling Homme,Rishi Arvind Phatak,Carl Christian Møller Jacobsen,"22/20,21/17",Tan Quach Le,Erling Homme
2024/2025,OSI OSI: Våryr,15.02.2025,SEN E,Herredouble,Tan Quach Le,Erling Homme,Samraat Zingha Ramachandran,Vishwavasu Soorly Nagaraj,"20/22,21/11,21/17",Tan Quach Le,Erling Homme
