Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Tommy Helander,Daniel Bjørklund,Martin Hyllestad,Kristian Hyllestad,"21/11,21/9",Tommy Helander,Daniel Bjørklund
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Erlend Kruksve,Pål Endre Pedersen,Robin Kruksve Krux,Fredrik Lian,"21/18,21/19",Erlend Kruksve,Pål Endre Pedersen
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robert Hoeggen,Fredrik Skånøy,Martin Hyllestad,Kristian Hyllestad,"21/12,21/11",Robert Hoeggen,Fredrik Skånøy
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robin Kruksve Krux,Fredrik Lian,Tommy Helander,Daniel Bjørklund,"18/21,21/18,22/20",Robin Kruksve Krux,Fredrik Lian
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robert Hoeggen,Fredrik Skånøy,Erlend Kruksve,Pål Endre Pedersen,"21/19,21/18",Robert Hoeggen,Fredrik Skånøy
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robin Kruksve Krux,Fredrik Lian,Martin Hyllestad,Kristian Hyllestad,"21/13,21/16",Robin Kruksve Krux,Fredrik Lian
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Tommy Helander,Daniel Bjørklund,Robert Hoeggen,Fredrik Skånøy,"21/11,21/19",Tommy Helander,Daniel Bjørklund
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Erlend Kruksve,Pål Endre Pedersen,Martin Hyllestad,Kristian Hyllestad,"21/18,21/19",Erlend Kruksve,Pål Endre Pedersen
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robert Hoeggen,Fredrik Skånøy,Robin Kruksve Krux,Fredrik Lian,"21/17,21/11",Robert Hoeggen,Fredrik Skånøy
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Erlend Kruksve,Pål Endre Pedersen,Tommy Helander,Daniel Bjørklund,"21/17,21/19",Erlend Kruksve,Pål Endre Pedersen
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Tommy Helander,Daniel Bjørklund,Martin Hyllestad,Kristian Hyllestad,"21/11,21/9",Tommy Helander,Daniel Bjørklund
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Erlend Kruksve,Pål Endre Pedersen,Robin Kruksve Krux,Fredrik Lian,"21/18,21/19",Erlend Kruksve,Pål Endre Pedersen
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robert Hoeggen,Fredrik Skånøy,Martin Hyllestad,Kristian Hyllestad,"21/12,21/11",Robert Hoeggen,Fredrik Skånøy
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robin Kruksve Krux,Fredrik Lian,Tommy Helander,Daniel Bjørklund,"18/21,21/18,22/20",Robin Kruksve Krux,Fredrik Lian
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robert Hoeggen,Fredrik Skånøy,Erlend Kruksve,Pål Endre Pedersen,"21/19,21/18",Robert Hoeggen,Fredrik Skånøy
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robin Kruksve Krux,Fredrik Lian,Martin Hyllestad,Kristian Hyllestad,"21/13,21/16",Robin Kruksve Krux,Fredrik Lian
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Tommy Helander,Daniel Bjørklund,Robert Hoeggen,Fredrik Skånøy,"21/11,21/19",Tommy Helander,Daniel Bjørklund
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Erlend Kruksve,Pål Endre Pedersen,Martin Hyllestad,Kristian Hyllestad,"21/18,21/19",Erlend Kruksve,Pål Endre Pedersen
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Robert Hoeggen,Fredrik Skånøy,Robin Kruksve Krux,Fredrik Lian,"21/17,21/11",Robert Hoeggen,Fredrik Skånøy
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN E,Erlend Kruksve,Pål Endre Pedersen,Tommy Helander,Daniel Bjørklund,"21/17,21/19",Erlend Kruksve,Pål Endre Pedersen
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Pål Endre Pedersen,,Fredrik Lian,"21/15,21/6",Pål Endre Pedersen,
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Fredrik Lian,,Daniel Bjørklund,"21/6,21/9",Fredrik Lian,
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Pål Endre Pedersen,,Vegar Næss,"21/8,21/12",Pål Endre Pedersen,
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Daniel Bjørklund,,Robert Hoeggen,"21/13,21/18",Daniel Bjørklund,
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Vegar Næss,,Kristian Hyllestad,"21/16,21/9",Vegar Næss,
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Fredrik Lian,,Kristian Hyllestad,"21/17,21/3",Fredrik Lian,
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Kristian Hyllestad,,Sondre Løvold,"15/21,21/19,21/14",Kristian Hyllestad,
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Fredrik Lian,,Sondre Løvold,"21/17,21/16",Fredrik Lian,
2017/2018,Orkanger Midtsommernatt 2018 - i Vinstrahallen!,15.06.2018,SEN A,,Robert Hoeggen,,Erlend Kruksve,"21/16,21/9",Robert Hoeggen,
