Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN E,Herresingle,,Petter Tryland Laheld,,Advait Mital,"21/10,21/7",Petter Tryland Laheld,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN E,Herresingle,,Petter Tryland Laheld,,Jiawen Shi,"21/8,21/16",Petter Tryland Laheld,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN E,Herresingle,,Petter Tryland Laheld,,David Nguyen,"21/17,21/9",Petter Tryland Laheld,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN E,Herresingle,,Jiawen Shi,,David Nguyen,"21/19,23/21",Jiawen Shi,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN E,Herresingle,,Advait Mital,,Zhongyan Yu,"21/18,18/21,21/16",Advait Mital,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN E,Herresingle,,Advait Mital,,Pål Endre Pedersen,"21/14,21/19",Advait Mital,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN E,Herresingle,,Pål Endre Pedersen,,Zhongyan Yu,"21/8,21/17",Pål Endre Pedersen,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herresingle,,Gonçalo Ribeiro,,Fredrik Lian,"23/21,22/20",Gonçalo Ribeiro,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herresingle,,Gonçalo Ribeiro,,Daniel Bjørklund,"21/12,11/21,21/13",Gonçalo Ribeiro,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herresingle,,Gonçalo Ribeiro,,Odin Mauset Skaugen,"21/11,21/11",Gonçalo Ribeiro,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herresingle,,Daniel Bjørklund,,Odin Mauset Skaugen,"22/20,21/17",Daniel Bjørklund,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herresingle,,Khiem  Duc Nguyen,,Ole Petter Øren,"21/15,21/10",Khiem  Duc Nguyen,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herresingle,,Fredrik Lian,,Ole Petter Øren,"21/18,21/16",Fredrik Lian,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herresingle,,Fredrik Lian,,Khiem  Duc Nguyen,"14/21,24/22,21/16",Fredrik Lian,
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herredouble,Advait Mital,Petter Tryland Laheld,David Nguyen,Zhongyan Yu,"19/21,24/22,21/15",Advait Mital,Petter Tryland Laheld
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herredouble,Advait Mital,Petter Tryland Laheld,Fredrik Lian,Nils Even Urkedal,"21/19,21/18",Advait Mital,Petter Tryland Laheld
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herredouble,Pål Endre Pedersen,Gonçalo Ribeiro,Fredrik Lian,Nils Even Urkedal,"21/15,21/19",Pål Endre Pedersen,Gonçalo Ribeiro
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herredouble,Advait Mital,Petter Tryland Laheld,Pål Endre Pedersen,Gonçalo Ribeiro,"13/21,21/13,21/19",Advait Mital,Petter Tryland Laheld
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herredouble,Tommy Helander,Daniel Bjørklund,Jiawen Shi,Christian Hervard,"22/20,21/15",Tommy Helander,Daniel Bjørklund
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herredouble,David Nguyen,Zhongyan Yu,Jiawen Shi,Christian Hervard,"21/16,21/11",David Nguyen,Zhongyan Yu
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herredouble,David Nguyen,Zhongyan Yu,Tommy Helander,Daniel Bjørklund,"25/23,21/16",David Nguyen,Zhongyan Yu
2021/2022,Orkanger Midtsommernatt på Vinstra,17.06.2022,SEN A,Herredouble,Tommy Helander,Daniel Bjørklund,Tor Stenvaag,Lars Valentin,"21/16,19/21,21/14",Tommy Helander,Daniel Bjørklund
