Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Gonçalo Ribeiro,,Pål Endre Pedersen,"21/11,21/13",Gonçalo Ribeiro,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Pål Endre Pedersen,,Øyvind W. Selboe,"22/20,12/21,21/16",Pål Endre Pedersen,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Gonçalo Ribeiro,,Oliver George Creese,"21/12,21/17",Gonçalo Ribeiro,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Amund Lind,,Joakim Øyen Bedsted,"12/21,21/14,21/17",Amund Lind,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Amund Lind,,Oliver George Creese,"21/17,21/19",Amund Lind,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Gonçalo Ribeiro,,Joakim Øyen Bedsted,"21/8,21/13",Gonçalo Ribeiro,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Oliver George Creese,,Joakim Øyen Bedsted,"21/7,21/19",Oliver George Creese,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Gonçalo Ribeiro,,Amund Lind,"21/16,21/15",Gonçalo Ribeiro,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,William R. Barø,,Vegar Næss,"24/22,21/19",William R. Barø,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Pål Endre Pedersen,,Nils Even Urkedal,"21/16,21/19",Pål Endre Pedersen,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Pål Endre Pedersen,,William R. Barø,"21/12,21/10",Pål Endre Pedersen,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Vegar Næss,,Nils Even Urkedal,"21/10,21/15",Vegar Næss,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,William R. Barø,,Nils Even Urkedal,"21/16,21/16",William R. Barø,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Pål Endre Pedersen,,Vegar Næss,"22/20,21/15",Pål Endre Pedersen,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Ørjan Emil Strand,,Odin Mauset Skaugen,"21/16,21/19",Ørjan Emil Strand,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Øyvind W. Selboe,,Odin Mauset Skaugen,"21/11,21/19",Øyvind W. Selboe,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Øyvind W. Selboe,,Ørjan Emil Strand,"21/15,21/16",Øyvind W. Selboe,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Gonçalo Ribeiro,,Pål Endre Pedersen,"21/11,21/13",Gonçalo Ribeiro,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Pål Endre Pedersen,,Øyvind W. Selboe,"22/20,12/21,21/16",Pål Endre Pedersen,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Gonçalo Ribeiro,,Oliver George Creese,"21/12,21/17",Gonçalo Ribeiro,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Amund Lind,,Joakim Øyen Bedsted,"12/21,21/14,21/17",Amund Lind,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Amund Lind,,Oliver George Creese,"21/17,21/19",Amund Lind,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Gonçalo Ribeiro,,Joakim Øyen Bedsted,"21/8,21/13",Gonçalo Ribeiro,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Oliver George Creese,,Joakim Øyen Bedsted,"21/7,21/19",Oliver George Creese,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Gonçalo Ribeiro,,Amund Lind,"21/16,21/15",Gonçalo Ribeiro,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,William R. Barø,,Vegar Næss,"24/22,21/19",William R. Barø,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Pål Endre Pedersen,,Nils Even Urkedal,"21/16,21/19",Pål Endre Pedersen,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Pål Endre Pedersen,,William R. Barø,"21/12,21/10",Pål Endre Pedersen,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Vegar Næss,,Nils Even Urkedal,"21/10,21/15",Vegar Næss,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,William R. Barø,,Nils Even Urkedal,"21/16,21/16",William R. Barø,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Pål Endre Pedersen,,Vegar Næss,"22/20,21/15",Pål Endre Pedersen,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Ørjan Emil Strand,,Odin Mauset Skaugen,"21/16,21/19",Ørjan Emil Strand,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Øyvind W. Selboe,,Odin Mauset Skaugen,"21/11,21/19",Øyvind W. Selboe,
2022/2023,Orkanger Midtsommernatt på Vinstra,16.06.2023,SEN E,,Øyvind W. Selboe,,Ørjan Emil Strand,"21/15,21/16",Øyvind W. Selboe,
