Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Herresingle,,Geir Storvik,,Rolf Ove Karlsen,"21/14,21/12",Geir Storvik,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Herresingle,,Geir Storvik,,Lars Erik Karlsen,"21/10,21/5",Geir Storvik,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Herresingle,,Geir Storvik,,Amund Skavhaug,"21/6,21/15",Geir Storvik,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Herresingle,,Amund Skavhaug,,Lars Erik Karlsen,"21/14,21/16",Amund Skavhaug,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Herresingle,,Rolf Ove Karlsen,,Jakob Larsen,"21/12,21/19",Rolf Ove Karlsen,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Herresingle,,Rolf Ove Karlsen,,Dexter Regarde,"21/6,21/16",Rolf Ove Karlsen,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Herresingle,,Jakob Larsen,,Dexter Regarde,"21/7,21/8",Jakob Larsen,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Damesingle,,Rowena Lindberg,,Julie Langeland Risa,"20/22,21/17,21/17",Rowena Lindberg,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Damesingle,,Berit Thyness,,Anne Berit Bergsmo,"21/17,21/6",Berit Thyness,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Damesingle,,Berit Thyness,,Rowena Lindberg,"21/10,21/19",Berit Thyness,
2018/2019,Orkanger Veteranmesterskapet,08.03.2019,V35+ A,Damesingle,,Anne Lie Foldnes,,Anne Berit Bergsmo,"21/13,21/12",Anne Lie Foldnes,
