Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Vegard Rikheim,,Ola Ulmo,"21/11,21/6",Vegard Rikheim,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Ola Ulmo,,Gonçalo Ribeiro,"21/17,21/14",Ola Ulmo,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Vegard Rikheim,,Johannes Orri Olafsson,"21/7,21/6",Vegard Rikheim,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Fredrik Lian,,Johannes Orri Olafsson,"21/16,18/21,21/17",Fredrik Lian,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Vegard Rikheim,,Fredrik Lian,"21/7,21/2",Vegard Rikheim,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Fredrik Skånøy,,Helle Sofie Sagøy,"21/19,21/10",Fredrik Skånøy,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Ola Ulmo,,Helle Sofie Sagøy,"21/9,21/10",Ola Ulmo,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Ola Ulmo,,Fredrik Skånøy,"21/11,21/13",Ola Ulmo,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Gonçalo Ribeiro,,Vegar Næss,"21/18,21/9",Gonçalo Ribeiro,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Vegar Næss,,Kristoffer Kielland Rædergård,"21/16,21/18",Vegar Næss,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herresingle,,Gonçalo Ribeiro,,Kristoffer Kielland Rædergård,"21/12,21/15",Gonçalo Ribeiro,
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Gonçalo Ribeiro,Ola Ulmo,Helle Sofie Sagøy,Fredrik Skånøy,"21/17,21/17",Gonçalo Ribeiro,Ola Ulmo
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Fredrik Lian,Kristoffer Kielland Rædergård,Amund Skavhaug,Robert Barø,"21/12,21/10",Fredrik Lian,Kristoffer Kielland Rædergård
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Gonçalo Ribeiro,Ola Ulmo,Fredrik Lian,Kristoffer Kielland Rædergård,"18/21,21/17,21/15",Gonçalo Ribeiro,Ola Ulmo
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Marius Sørby,Johannes Orri Olafsson,Amund Skavhaug,Robert Barø,"21/19,21/19",Marius Sørby,Johannes Orri Olafsson
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Marius Sørby,Johannes Orri Olafsson,Gonçalo Ribeiro,Ola Ulmo,"21/19,21/18",Marius Sørby,Johannes Orri Olafsson
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Fredrik Lian,Kristoffer Kielland Rædergård,Helle Sofie Sagøy,Fredrik Skånøy,"19/21,21/11,21/13",Fredrik Lian,Kristoffer Kielland Rædergård
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Fredrik Lian,Kristoffer Kielland Rædergård,Marius Sørby,Johannes Orri Olafsson,"21/18,21/19",Fredrik Lian,Kristoffer Kielland Rædergård
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Amund Skavhaug,Robert Barø,Helle Sofie Sagøy,Fredrik Skånøy,"18/21,21/18,21/19",Amund Skavhaug,Robert Barø
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Gonçalo Ribeiro,Ola Ulmo,Amund Skavhaug,Robert Barø,"21/12,21/10",Gonçalo Ribeiro,Ola Ulmo
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Herredouble,Marius Sørby,Johannes Orri Olafsson,Helle Sofie Sagøy,Fredrik Skånøy,"21/15,21/16",Marius Sørby,Johannes Orri Olafsson
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Mixeddouble,Charlotte Aase,Robert Barø,Anja Olsen,Gonçalo Ribeiro,"21/17,11/21,22/20",Charlotte Aase,Robert Barø
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Mixeddouble,Helle Sofie Sagøy,Fredrik Skånøy,Kristoffer Kielland Rædergård,Ragnhild Stenvaag,"16/21,21/13,21/15",Helle Sofie Sagøy,Fredrik Skånøy
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Mixeddouble,Charlotte Aase,Robert Barø,Marius Sørby,Silje Lyngstad Skavhaug,"21/14,21/16",Charlotte Aase,Robert Barø
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Mixeddouble,Charlotte Aase,Robert Barø,Helle Sofie Sagøy,Fredrik Skånøy,"16/21,21/15,21/17",Charlotte Aase,Robert Barø
2023/2024,Pillarguri OTTA OPEN,01.06.2024,SEN E,Mixeddouble,Helle Sofie Sagøy,Fredrik Skånøy,Marius Sørby,Silje Lyngstad Skavhaug,"21/9,21/14",Helle Sofie Sagøy,Fredrik Skånøy
