Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Isak L. Hasselvold,,Kai Roger Stensen,"21/7,12/21,21/18",Isak L. Hasselvold,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Kai Roger Stensen,,Fredrik Skånøy,"20/22,21/16,22/20",Kai Roger Stensen,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Isak L. Hasselvold,,Amund Skavhaug,"21/3,21/9",Isak L. Hasselvold,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Isak L. Hasselvold,,Kristoffer Brandsås Berg,"21/15,21/9",Isak L. Hasselvold,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Benjamin Rølvåg,,Kristoffer Brandsås Berg,"26/24,21/4",Benjamin Rølvåg,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Isak L. Hasselvold,,Benjamin Rølvåg,"21/12,21/8",Isak L. Hasselvold,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Amund Skavhaug,,Jonas J Grande,"21/14,18/21,21/12",Amund Skavhaug,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Amund Skavhaug,,Ole Christoffer Olsen,"17/21,21/10,21/17",Amund Skavhaug,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Jonas J Grande,,Ole Christoffer Olsen,"10/21,21/12,21/14",Jonas J Grande,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Sebastian Bøe,,Sondre Løvold,"21/15,21/14",Sebastian Bøe,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Kai Roger Stensen,,Martin Hyllestad,"21/14,21/19",Kai Roger Stensen,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Martin Hyllestad,,Sebastian Bøe,"21/16,21/10",Martin Hyllestad,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Kai Roger Stensen,,Sondre Løvold,"21/9,21/7",Kai Roger Stensen,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Kai Roger Stensen,,Sebastian Bøe,"21/14,21/15",Kai Roger Stensen,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Martin Hyllestad,,Sondre Løvold,"21/15,19/21,21/15",Martin Hyllestad,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Fredrik Skånøy,,Emil Pettersen,"21/11,23/25,21/17",Fredrik Skånøy,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Fredrik Skånøy,,Fredrik Lian,"9/21,21/13,21/16",Fredrik Skånøy,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herresingle,,Fredrik Lian,,Emil Pettersen,"22/20,21/14",Fredrik Lian,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damesingle,,Marte Stokkaune,,Ina Stenkjær,"21/11,21/15",Marte Stokkaune,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damesingle,,Ingvild Håland,,Silje V. Kruksve Aasland,"21/19,20/22,21/18",Ingvild Håland,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damesingle,,Ina Stenkjær,,Silje V. Kruksve Aasland,"13/21,23/21,21/9",Ina Stenkjær,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damesingle,,Ingvild Håland,,Marte Stokkaune,"21/10,21/15",Ingvild Håland,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damesingle,,Ingvild Håland,,Ina Stenkjær,"21/5,21/18",Ingvild Håland,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damesingle,,Silje V. Kruksve Aasland,,Marte Stokkaune,"21/16,16/21,22/20",Silje V. Kruksve Aasland,
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Fredrik Skånøy,Martin Hyllestad,Kai Roger Stensen,Isak L. Hasselvold,"23/21,21/19",Fredrik Skånøy,Martin Hyllestad
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Robin Kruksve Krux,Fredrik Lian,Benjamin Rølvåg,Jonas J Grande,"17/21,21/16,21/17",Robin Kruksve Krux,Fredrik Lian
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Fredrik Skånøy,Martin Hyllestad,Robin Kruksve Krux,Fredrik Lian,"25/23,21/15",Fredrik Skånøy,Martin Hyllestad
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Fredrik Skånøy,Martin Hyllestad,Benjamin Rølvåg,Jonas J Grande,"23/21,21/12",Fredrik Skånøy,Martin Hyllestad
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Kristoffer Brandsås Berg,Sebastian Bøe,Emil Pettersen,Ole Christoffer Olsen,"21/5,21/6",Kristoffer Brandsås Berg,Sebastian Bøe
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Kai Roger Stensen,Isak L. Hasselvold,Amund Skavhaug,Robert Barø,"21/19,21/18",Kai Roger Stensen,Isak L. Hasselvold
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Kai Roger Stensen,Isak L. Hasselvold,Emil Pettersen,Ole Christoffer Olsen,"21/10,21/14",Kai Roger Stensen,Isak L. Hasselvold
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Kristoffer Brandsås Berg,Sebastian Bøe,Amund Skavhaug,Robert Barø,"21/18,21/17",Kristoffer Brandsås Berg,Sebastian Bøe
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Kai Roger Stensen,Isak L. Hasselvold,Kristoffer Brandsås Berg,Sebastian Bøe,"19/21,21/6,21/11",Kai Roger Stensen,Isak L. Hasselvold
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Herredouble,Amund Skavhaug,Robert Barø,Emil Pettersen,Ole Christoffer Olsen,"21/16,21/19",Amund Skavhaug,Robert Barø
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damedouble,Ina Stenkjær,Marte Stokkaune,Barbro Johnsen,Hildegunn Måøy,"21/8,21/15",Ina Stenkjær,Marte Stokkaune
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damedouble,Camilla Stokkaune,Ingvild Håland,Barbro Johnsen,Hildegunn Måøy,"21/3,21/10",Camilla Stokkaune,Ingvild Håland
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Damedouble,Camilla Stokkaune,Ingvild Håland,Ina Stenkjær,Marte Stokkaune,"22/20,21/8",Camilla Stokkaune,Ingvild Håland
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Mixeddouble,Emil Pettersen,Barbro Johnsen,Silje V. Kruksve Aasland,Robin Kruksve Krux,"21/13,17/21,21/15",Emil Pettersen,Barbro Johnsen
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Mixeddouble,Ina Stenkjær,Fredrik Lian,Børge Håland,Ingvild Håland,"19/21,21/9,21/7",Ina Stenkjær,Fredrik Lian
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Mixeddouble,Ina Stenkjær,Fredrik Lian,Marte Stokkaune,Martin Hyllestad,"21/19,19/21,22/20",Ina Stenkjær,Fredrik Lian
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Mixeddouble,Børge Håland,Ingvild Håland,Silje V. Kruksve Aasland,Robin Kruksve Krux,"21/16,21/16",Børge Håland,Ingvild Håland
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Mixeddouble,Ina Stenkjær,Fredrik Lian,Emil Pettersen,Barbro Johnsen,"21/2,21/1",Ina Stenkjær,Fredrik Lian
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Mixeddouble,Marte Stokkaune,Martin Hyllestad,Børge Håland,Ingvild Håland,"21/16,21/15",Marte Stokkaune,Martin Hyllestad
2019/2020,Rissa Clearcup ,27.09.2019,SEN A,Mixeddouble,Ina Stenkjær,Fredrik Lian,Silje V. Kruksve Aasland,Robin Kruksve Krux,"21/17,21/12",Ina Stenkjær,Fredrik Lian
