Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herresingle,,Dennis Andersen Moe,,Erlend Engesæter Bognøy,"21/18,21/13",Dennis Andersen Moe,
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herresingle,,Stian Ekroll Glenne,,Dennis Andersen Moe,"21/15,22/20",Stian Ekroll Glenne,
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herresingle,,Erlend Engesæter Bognøy,,Stian Ekroll Glenne,"16/21,21/16,21/19",Erlend Engesæter Bognøy,
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Erlend Engesæter Bognøy,Dennis Andersen Moe,Atle Dahle,Karl Martin Valestrand,"21/11,21/14",Erlend Engesæter Bognøy,Dennis Andersen Moe
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Atle Dahle,Karl Martin Valestrand,Børge Mæland,Jostein Urheim,"21/19,17/21,21/13",Atle Dahle,Karl Martin Valestrand
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Cato Fjellheim,Simen Mjelva,Christian Lund Haugen,Magnus Seilen,"21/15,21/14",Cato Fjellheim,Simen Mjelva
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Erlend Engesæter Bognøy,Dennis Andersen Moe,Hendrik Rytberg,Erik Steinsbø,"21/14,21/13",Erlend Engesæter Bognøy,Dennis Andersen Moe
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Hendrik Rytberg,Erik Steinsbø,Christian Lund Haugen,Magnus Seilen,"27/25,21/12",Hendrik Rytberg,Erik Steinsbø
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Erlend Engesæter Bognøy,Dennis Andersen Moe,Cato Fjellheim,Simen Mjelva,"21/17,21/15",Erlend Engesæter Bognøy,Dennis Andersen Moe
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Erlend Engesæter Bognøy,Dennis Andersen Moe,Christian Lund Haugen,Magnus Seilen,"21/8,21/12",Erlend Engesæter Bognøy,Dennis Andersen Moe
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Hendrik Rytberg,Erik Steinsbø,Cato Fjellheim,Simen Mjelva,"21/18,21/12",Hendrik Rytberg,Erik Steinsbø
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Atle Dahle,Karl Martin Valestrand,Einar Morgan Utne,Svein Hjertholm,"21/5,21/6",Atle Dahle,Karl Martin Valestrand
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Atle Dahle,Karl Martin Valestrand,Morten Amundsen,Kjell Tore Brakedal,"21/13,21/15",Atle Dahle,Karl Martin Valestrand
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Morten Amundsen,Kjell Tore Brakedal,Einar Morgan Utne,Svein Hjertholm,"21/13,21/14",Morten Amundsen,Kjell Tore Brakedal
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Børge Mæland,Jostein Urheim,Morten Sellevold,Robert Eriksen,"21/18,22/20",Børge Mæland,Jostein Urheim
2019/2020,Rubbestadneset Bømlo Wärtsilä Open,08.02.2020,SEN A,Herredouble,Pål Kolstø,Ivan Sundt,Morten Sellevold,Robert Eriksen,"21/15,22/20",Pål Kolstø,Ivan Sundt
