Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Marius Imset,,Svein Brenna,"21/11,21/10",Marius Imset,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Marius Imset,,Truls Helgerød,"21/7,21/7",Marius Imset,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Svein Brenna,,Jørgen Thorp,"21/10,21/13",Svein Brenna,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Truls Helgerød,,Christoffer Sørensen,"21/14,21/12",Truls Helgerød,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Svein Brenna,,Andreas Thorp,"20/22,21/7,21/15",Svein Brenna,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Marius Imset,,Svein Brenna,"21/14,21/13",Marius Imset,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Marius Imset,,Tor Martin Treff,"21/4,21/6",Marius Imset,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Svein Brenna,,Tor Martin Treff,"21/9,21/15",Svein Brenna,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Andreas Thorp,,Christoffer Sørensen,"21/19,21/19",Andreas Thorp,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Einar Høksnes,,Truls Helgerød,"21/17,17/21,21/18",Einar Høksnes,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Jørgen Thorp,,Einar Høksnes,"21/19,21/16",Jørgen Thorp,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herresingle,,Truls Helgerød,,Jørgen Thorp,"22/20,14/21,21/15",Truls Helgerød,
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herredouble,Jørgen Thorp,Svein Brenna,Sandra Vaaje,Frida Bjørvik Løvheim,"24/22,21/18",Jørgen Thorp,Svein Brenna
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herredouble,Christoffer Sørensen,Marius Imset,Tor Martin Treff,Einar Høksnes,"23/21,21/13",Christoffer Sørensen,Marius Imset
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herredouble,Jørgen Thorp,Svein Brenna,Tor Martin Treff,Einar Høksnes,"21/18,21/15",Jørgen Thorp,Svein Brenna
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herredouble,Christoffer Sørensen,Marius Imset,Sandra Vaaje,Frida Bjørvik Løvheim,"21/8,21/17",Christoffer Sørensen,Marius Imset
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herredouble,Christoffer Sørensen,Marius Imset,Jørgen Thorp,Svein Brenna,"23/21,23/25,21/15",Christoffer Sørensen,Marius Imset
2019/2020,Sandefjord KM VBT,19.10.2019,SEN C,Herredouble,Sandra Vaaje,Frida Bjørvik Løvheim,Tor Martin Treff,Einar Høksnes,"21/18,18/21,21/16",Sandra Vaaje,Frida Bjørvik Løvheim
2019/2020,Sandefjord KM VBT,19.10.2019,U13 A,Herresingle,,Jon Vidar Jonsson,,Ola Helgerød,"20/22,21/14,21/7",Jon Vidar Jonsson,
2019/2020,Sandefjord KM VBT,19.10.2019,U13 A,Herresingle,,Sondre Dolven,,Oliver Petersen Norberg,"17/21,21/18,21/19",Sondre Dolven,
2019/2020,Sandefjord KM VBT,19.10.2019,U13 A,Herresingle,,Jon Vidar Jonsson,,Oliver Petersen Norberg,"9/21,21/18,21/18",Jon Vidar Jonsson,
2019/2020,Sandefjord KM VBT,19.10.2019,U13 A,Herresingle,,Ola Helgerød,,Sondre Dolven,"21/16,21/18",Ola Helgerød,
2019/2020,Sandefjord KM VBT,19.10.2019,U13 A,Herresingle,,Sondre Dolven,,Jon Vidar Jonsson,"18/21,21/19,21/10",Sondre Dolven,
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,Erling Egtvedt,Truls Helgerød,Henrik Engeland Brett,Endre Sundby Dalen,"21/12,21/19",Erling Egtvedt,Truls Helgerød
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,Erling Egtvedt,Truls Helgerød,Oliver Petersen Norberg,Jon Vidar Jonsson,"21/6,21/4",Erling Egtvedt,Truls Helgerød
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,Henrik Engeland Brett,Endre Sundby Dalen,Jacob Sperre Stephens,Eirik Wallentin,"21/15,21/13",Henrik Engeland Brett,Endre Sundby Dalen
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,Oliver Petersen Norberg,Jon Vidar Jonsson,William D. Hillgaar,Mathias Opsal,"21/13,21/11",Oliver Petersen Norberg,Jon Vidar Jonsson
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,Jacob Sperre Stephens,Eirik Wallentin,Noah Slettingdalen Sääv,Pelle Cornelius Nordeide,"21/12,21/11",Jacob Sperre Stephens,Eirik Wallentin
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,Jacob Sperre Stephens,Eirik Wallentin,Andreas Karlsen,Andreas Bolstad,"21/17,21/16",Jacob Sperre Stephens,Eirik Wallentin
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,Erling Egtvedt,Truls Helgerød,Andreas Karlsen,Andreas Bolstad,"21/7,21/10",Erling Egtvedt,Truls Helgerød
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,Erling Egtvedt,Truls Helgerød,Jacob Sperre Stephens,Eirik Wallentin,"21/6,21/9",Erling Egtvedt,Truls Helgerød
2019/2020,Sandefjord KM VBT,19.10.2019,U15 A,Herredouble,William D. Hillgaar,Mathias Opsal,Emil Skjelland,Ola Helgerød,"21/6,21/7",William D. Hillgaar,Mathias Opsal
