Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Bent Mørken,Rune Enoksen,Tommy Norheim,Anders Skar,"21/13,21/13",Bent Mørken,Rune Enoksen
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Pål Magnus Andersen,Jon Christian Reime,Tor Martin Treff,Vidar Nguyen,"21/16,21/10",Pål Magnus Andersen,Jon Christian Reime
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Tommy Norheim,Anders Skar,Felix Rostad,Jon Vidar Jonsson,"21/11,21/10",Tommy Norheim,Anders Skar
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Felix Rostad,Jon Vidar Jonsson,Pål Magnus Andersen,Jon Christian Reime,"19/21,21/17,21/14",Felix Rostad,Jon Vidar Jonsson
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Tommy Norheim,Anders Skar,Tor Martin Treff,Vidar Nguyen,"21/12,21/9",Tommy Norheim,Anders Skar
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Tommy Norheim,Anders Skar,Pål Magnus Andersen,Jon Christian Reime,"17/21,21/13,21/11",Tommy Norheim,Anders Skar
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Felix Rostad,Jon Vidar Jonsson,Tor Martin Treff,Vidar Nguyen,"21/18,17/21,21/14",Felix Rostad,Jon Vidar Jonsson
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Bent Mørken,Rune Enoksen,Ola Hellen,Markus Treidene Hansen,"21/9,21/11",Bent Mørken,Rune Enoksen
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Ola Hellen,Markus Treidene Hansen,Svein Brenna,Jørgen Thorp,"21/8,21/14",Ola Hellen,Markus Treidene Hansen
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Bent Mørken,Rune Enoksen,Marielle Sørby,Rasmus Boutenko,"21/11,21/11",Bent Mørken,Rune Enoksen
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Bent Mørken,Rune Enoksen,Svein Brenna,Jørgen Thorp,"21/5,21/9",Bent Mørken,Rune Enoksen
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Ola Hellen,Markus Treidene Hansen,Marielle Sørby,Rasmus Boutenko,"21/13,21/16",Ola Hellen,Markus Treidene Hansen
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN B,Herredouble,Svein Brenna,Jørgen Thorp,Marielle Sørby,Rasmus Boutenko,"14/21,21/8,21/18",Svein Brenna,Jørgen Thorp
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN C,Herresingle,,Bent Mørken,,Anders Skar,"21/14,21/7",Bent Mørken,
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN C,Herresingle,,Anders Skar,,Rune Enoksen,"21/9,21/4",Anders Skar,
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN C,Herresingle,,Bent Mørken,,Jon Vidar Jonsson,"21/9,21/15",Bent Mørken,
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN C,Herresingle,,Bent Mørken,,Jon Henning Bergane,"21/9,21/9",Bent Mørken,
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN C,Herresingle,,Anders Skar,,Pål Magnus Andersen,"21/8,21/19",Anders Skar,
2024/2025,Sandefjord Kretsmesterskap VBT badmintonkrets,18.01.2025,SEN C,Herresingle,,Anders Skar,,Felix Rostad,"21/7,21/16",Anders Skar,
