Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Ikmal Hussain Jaafar,,Carl Christian Hem,"21/10,21/17",Ikmal Hussain Jaafar,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Hem,,Carl Christian Møller Jacobsen,"21/17,15/21,21/16",Carl Christian Hem,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Ikmal Hussain Jaafar,,Jørgen Rosenlund,"21/17,21/17",Ikmal Hussain Jaafar,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Ikmal Hussain Jaafar,,Øystein Hovden Eimind,"21/12,21/12",Ikmal Hussain Jaafar,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Hem,,Kristoffer Robin Olsen,"21/16,21/17",Carl Christian Hem,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Hem,,Øystein Hovden Eimind,"21/16,21/19",Carl Christian Hem,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Ikmal Hussain Jaafar,,Kristoffer Robin Olsen,"21/10,21/8",Ikmal Hussain Jaafar,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Øystein Hovden Eimind,,Kristoffer Robin Olsen,"21/8,14/21,21/12",Øystein Hovden Eimind,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Hem,,Ikmal Hussain Jaafar,"21/14,22/20",Carl Christian Hem,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Jørgen Rosenlund,,Tobias Krømke,"21/17,21/19",Jørgen Rosenlund,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Møller Jacobsen,,Martin Grøtterød,"18/21,21/11,21/15",Carl Christian Møller Jacobsen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Jørgen Rosenlund,,Martin Grøtterød,"21/16,19/21,21/13",Jørgen Rosenlund,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Møller Jacobsen,,Tobias Krømke,"21/19,21/16",Carl Christian Møller Jacobsen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Jørgen Rosenlund,,Carl Christian Møller Jacobsen,"21/16,21/10",Jørgen Rosenlund,
