Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Pål Endre Pedersen,,Jørgen Rosenlund,"21/19,21/19",Pål Endre Pedersen,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Jørgen Rosenlund,,Amund Rikheim Huus,"21/9,21/12",Jørgen Rosenlund,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Pål Endre Pedersen,,Christian S. Johnsen,"21/18,21/17",Pål Endre Pedersen,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Christian S. Johnsen,,Sondre Sefland,"21/10,21/17",Christian S. Johnsen,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Jørgen Rosenlund,,Sondre Sefland,"21/10,21/9",Jørgen Rosenlund,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Jørgen Rosenlund,,Christian S. Johnsen,"21/16,21/14",Jørgen Rosenlund,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Pål Endre Pedersen,,Tommy Helander,"21/7,21/13",Pål Endre Pedersen,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Amund Rikheim Huus,,Tommy Helander,"21/16,21/12",Amund Rikheim Huus,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herresingle,,Pål Endre Pedersen,,Amund Rikheim Huus,"21/11,15/21,21/11",Pål Endre Pedersen,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Damesingle,,Berit Thyness,,Kaisa Isabell Sandboe,"21/10,21/14",Berit Thyness,
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Herredouble,Tommy Helander,Bjørn Hamang,Natanael Stordal,Daniel Brustad Snorrason,"26/24,21/13",Tommy Helander,Bjørn Hamang
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Mixeddouble,Berit Thyness,Tommy Helander,Daniel Brustad Snorrason,Kaisa Isabell Sandboe,"21/9,21/10",Berit Thyness,Tommy Helander
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Mixeddouble,Geir Storvik,Ulla Faarup,Bjørn Hamang,Bente Sotnes,"21/7,21/17",Geir Storvik,Ulla Faarup
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Mixeddouble,Geir Storvik,Ulla Faarup,Berit Thyness,Tommy Helander,"21/10,21/15",Geir Storvik,Ulla Faarup
2018/2019,Sangam KM Oslofjordens Badmintonkrets,26.01.2019,SEN E,Mixeddouble,Bjørn Hamang,Bente Sotnes,Daniel Brustad Snorrason,Kaisa Isabell Sandboe,"21/8,21/12",Bjørn Hamang,Bente Sotnes
