Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Bent Mørken,,Thea Johansen,"21/7,21/6",Bent Mørken,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Erlend Stormo,,Jon Eirik Gulli,"16/21,21/17,21/17",Erlend Stormo,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Bent Mørken,,Tommy Helander,"21/9,21/18",Bent Mørken,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Bent Mørken,,Jon Eirik Gulli,"21/13,21/4",Bent Mørken,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Tommy Helander,,Erlend Stormo,"21/14,21/19",Tommy Helander,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Tommy Helander,,Jon Eirik Gulli,"20/22,21/13,21/13",Tommy Helander,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Bent Mørken,,Erlend Stormo,"21/5,21/7",Bent Mørken,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Thea Johansen,,Baard Janitz,"21/19,21/16",Thea Johansen,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Tommy Norheim,,Marius Imset,"21/16,22/20",Tommy Norheim,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Thea Johansen,,Tommy Norheim,"22/20,21/17",Thea Johansen,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Marius Imset,,Baard Janitz,"11/21,21/15,21/15",Marius Imset,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Marius Imset,,Thea Johansen,"21/17,21/15",Marius Imset,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Tommy Norheim,,Baard Janitz,"21/17,21/14",Tommy Norheim,
2019/2020,Slagen Slagenspretten 2020.,08.02.2020,SEN A,,Bent Mørken,,Thea Johansen,"21/7,21/6",Bent Mørken,
