Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Per Helge Bergan,,Jon Eirik Gulli,"21/10,21/13",Per Helge Bergan,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Per Helge Bergan,,Osman Bekri Khan,"19/21,21/11,21/11",Per Helge Bergan,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Jon Eirik Gulli,,Bernard Arntsen,"21/18,21/16",Jon Eirik Gulli,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Osman Bekri Khan,,Karni Khan,"21/6,21/13",Osman Bekri Khan,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Jon Eirik Gulli,,Markus Aanesen,"8/21,22/20,21/17",Jon Eirik Gulli,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Bernard Arntsen,,Jørn Lindberg,"21/18,21/9",Bernard Arntsen,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Per Helge Bergan,,Elisabeth Parnemann Sirevåg,"21/19,21/13",Per Helge Bergan,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Corentin Lepoivre,,Jørgen Thorp,"21/12,21/14",Corentin Lepoivre,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Elisabeth Parnemann Sirevåg,,Corentin Lepoivre,"22/20,21/18",Elisabeth Parnemann Sirevåg,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Per Helge Bergan,,Jørgen Thorp,"21/14,21/9",Per Helge Bergan,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Elisabeth Parnemann Sirevåg,,Jørgen Thorp,"21/8,21/3",Elisabeth Parnemann Sirevåg,
2019/2020,Slagen Slagentreffen 2019,23.11.2019,SEN C,,Per Helge Bergan,,Corentin Lepoivre,"21/11,21/19",Per Helge Bergan,
