Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Thomas Christian Malm,,Joakim Haugebo,"21/16,26/24",Thomas Christian Malm,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Joakim Haugebo,,Stig Arve H. Abrahamsen,"21/13,13/21,22/20",Joakim Haugebo,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Thomas Christian Malm,,Nils Henrik Haaland,"21/13,21/9",Thomas Christian Malm,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Stig Arve H. Abrahamsen,,Tarjei Sveen,"21/13,21/14",Stig Arve H. Abrahamsen,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Stig Arve H. Abrahamsen,,Nils Henrik Haaland,"21/18,22/20",Stig Arve H. Abrahamsen,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Nils Henrik Haaland,,Tarjei Sveen,"21/18,13/21,21/12",Nils Henrik Haaland,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Joakim Haugebo,,Kjetil Ragde,"21/17,21/10",Joakim Haugebo,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Thomas Christian Malm,,Joakim Haugebo,"21/16,21/16",Thomas Christian Malm,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Thomas Christian Malm,,Kjetil Ragde,"21/11,21/19",Thomas Christian Malm,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Thomas Christian Malm,,Joakim Haugebo,"21/16,26/24",Thomas Christian Malm,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Joakim Haugebo,,Stig Arve H. Abrahamsen,"21/13,13/21,22/20",Joakim Haugebo,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Thomas Christian Malm,,Nils Henrik Haaland,"21/13,21/9",Thomas Christian Malm,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Stig Arve H. Abrahamsen,,Tarjei Sveen,"21/13,21/14",Stig Arve H. Abrahamsen,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Stig Arve H. Abrahamsen,,Nils Henrik Haaland,"21/18,22/20",Stig Arve H. Abrahamsen,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Nils Henrik Haaland,,Tarjei Sveen,"21/18,13/21,21/12",Nils Henrik Haaland,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Joakim Haugebo,,Kjetil Ragde,"21/17,21/10",Joakim Haugebo,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Thomas Christian Malm,,Joakim Haugebo,"21/16,21/16",Thomas Christian Malm,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Thomas Christian Malm,,Kjetil Ragde,"21/11,21/19",Thomas Christian Malm,
2018/2019,Sola Sola Slaget 2018,08.12.2018,SEN A,,Anne Skjævesland,,Iris Hagen,"21/19,21/13",Anne Skjævesland,
