Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Simen Lexander,"21/19,14/21,21/13",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Petter Karlsen Wåltorp,"21/17,23/25,21/18",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Hendrik Rytberg,,Rene Dahle,"21/15,21/17",Hendrik Rytberg,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Sigbjørn Honve,"21/14,21/14",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Hendrik Rytberg,"21/12,21/17",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Sigbjørn Honve,,Hendrik Rytberg,"21/16,21/10",Sigbjørn Honve,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Rene Dahle,"21/8,21/6",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Karlsen Wåltorp,,Keveen Kumar Balasingam,"21/9,21/18",Petter Karlsen Wåltorp,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Karlsen Wåltorp,,Vera Botcharova Ellingsen,"21/18,21/12",Petter Karlsen Wåltorp,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Keveen Kumar Balasingam,,Vera Botcharova Ellingsen,"21/18,21/15",Keveen Kumar Balasingam,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Dusan Nikolic,"21/12,21/15",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Mats Lervåg,"21/11,22/20",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Dusan Nikolic,,Mats Lervåg,"21/16,21/14",Dusan Nikolic,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Simen Lexander,"21/19,14/21,21/13",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Petter Karlsen Wåltorp,"21/17,23/25,21/18",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Hendrik Rytberg,,Rene Dahle,"21/15,21/17",Hendrik Rytberg,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Sigbjørn Honve,"21/14,21/14",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Hendrik Rytberg,"21/12,21/17",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Sigbjørn Honve,,Hendrik Rytberg,"21/16,21/10",Sigbjørn Honve,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Rene Dahle,"21/8,21/6",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Karlsen Wåltorp,,Keveen Kumar Balasingam,"21/9,21/18",Petter Karlsen Wåltorp,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Karlsen Wåltorp,,Vera Botcharova Ellingsen,"21/18,21/12",Petter Karlsen Wåltorp,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Keveen Kumar Balasingam,,Vera Botcharova Ellingsen,"21/18,21/15",Keveen Kumar Balasingam,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Dusan Nikolic,"21/12,21/15",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Mats Lervåg,"21/11,22/20",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Dusan Nikolic,,Mats Lervåg,"21/16,21/14",Dusan Nikolic,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Vilde Morvik Ekerhovd,,Jenny Rajkumar,"21/14,21/18",Vilde Morvik Ekerhovd,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Vilde Morvik Ekerhovd,,Marit Louise Ulvang,"14/21,21/13,27/25",Vilde Morvik Ekerhovd,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Victoria Økland,,Jenny Rajkumar,"21/16,21/7",Victoria Økland,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Jenny Rajkumar,,Marit Louise Ulvang,"21/18,21/18",Jenny Rajkumar,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Vilde Morvik Ekerhovd,,Victoria Økland,"21/18,21/14",Vilde Morvik Ekerhovd,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Victoria Økland,,Marit Louise Ulvang,"21/9,21/12",Victoria Økland,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Geir Omdal,Petter Polden,Simen Lexander,Dusan Nikolic,"21/14,9/21,21/18",Geir Omdal,Petter Polden
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Simen Lexander,Dusan Nikolic,Hendrik Rytberg,Oleg Tsynkalovskiy,"21/7,21/7",Simen Lexander,Dusan Nikolic
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Hans Ravnanger Sæle,Rene Dahle,Kumaran Dhakshan Moorthy,Nelson Thambiraj,"21/8,21/17",Hans Ravnanger Sæle,Rene Dahle
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Geir Omdal,Petter Polden,Kumaran Dhakshan Moorthy,Nelson Thambiraj,"21/19,21/10",Geir Omdal,Petter Polden
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Geir Omdal,Petter Polden,Hans Ravnanger Sæle,Rene Dahle,"21/6,21/17",Geir Omdal,Petter Polden
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Marit Louise Ulvang,Vilde Morvik Ekerhovd,Steinar Thorsen,Jone Sætenes,"20/22,21/16,21/12",Marit Louise Ulvang,Vilde Morvik Ekerhovd
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Hendrik Rytberg,Oleg Tsynkalovskiy,Steinar Thorsen,Jone Sætenes,"21/12,14/21,21/15",Hendrik Rytberg,Oleg Tsynkalovskiy
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Hendrik Rytberg,Oleg Tsynkalovskiy,Marit Louise Ulvang,Vilde Morvik Ekerhovd,"21/12,18/21,21/18",Hendrik Rytberg,Oleg Tsynkalovskiy
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Vinoth Kumar Balasingam,Keveen Kumar Balasingam,Petter Karlsen Wåltorp,Are Eidissen,"21/17,23/21",Vinoth Kumar Balasingam,Keveen Kumar Balasingam
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Simen Lexander,Dusan Nikolic,Vinoth Kumar Balasingam,Keveen Kumar Balasingam,"21/12,21/18",Simen Lexander,Dusan Nikolic
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,Simen Lexander,Dusan Nikolic,Petter Karlsen Wåltorp,Are Eidissen,"21/15,21/10",Simen Lexander,Dusan Nikolic
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Simen Lexander,"21/19,14/21,21/13",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Petter Karlsen Wåltorp,"21/17,23/25,21/18",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Hendrik Rytberg,,Rene Dahle,"21/15,21/17",Hendrik Rytberg,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Sigbjørn Honve,"21/14,21/14",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Hendrik Rytberg,"21/12,21/17",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Sigbjørn Honve,,Hendrik Rytberg,"21/16,21/10",Sigbjørn Honve,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Rene Dahle,"21/8,21/6",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Karlsen Wåltorp,,Keveen Kumar Balasingam,"21/9,21/18",Petter Karlsen Wåltorp,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Karlsen Wåltorp,,Vera Botcharova Ellingsen,"21/18,21/12",Petter Karlsen Wåltorp,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Keveen Kumar Balasingam,,Vera Botcharova Ellingsen,"21/18,21/15",Keveen Kumar Balasingam,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Dusan Nikolic,"21/12,21/15",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Mats Lervåg,"21/11,22/20",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Dusan Nikolic,,Mats Lervåg,"21/16,21/14",Dusan Nikolic,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Simen Lexander,"21/19,14/21,21/13",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Petter Karlsen Wåltorp,"21/17,23/25,21/18",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Hendrik Rytberg,,Rene Dahle,"21/15,21/17",Hendrik Rytberg,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Sigbjørn Honve,"21/14,21/14",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Hendrik Rytberg,"21/12,21/17",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Sigbjørn Honve,,Hendrik Rytberg,"21/16,21/10",Sigbjørn Honve,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Polden,,Rene Dahle,"21/8,21/6",Petter Polden,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Karlsen Wåltorp,,Keveen Kumar Balasingam,"21/9,21/18",Petter Karlsen Wåltorp,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Petter Karlsen Wåltorp,,Vera Botcharova Ellingsen,"21/18,21/12",Petter Karlsen Wåltorp,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Keveen Kumar Balasingam,,Vera Botcharova Ellingsen,"21/18,21/15",Keveen Kumar Balasingam,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Dusan Nikolic,"21/12,21/15",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Simen Lexander,,Mats Lervåg,"21/11,22/20",Simen Lexander,
2015/2016,Sotra KM VEST/Sotra Open 2016,30.01.2016,SEN A,,Dusan Nikolic,,Mats Lervåg,"21/16,21/14",Dusan Nikolic,
