Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Jonathan Utne Madsøy,,Kristoffer Sveen Hjertholm,"21/16,21/17",Jonathan Utne Madsøy,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Keveen Kumar Balasingam,,Brede Stenfeldt,"21/11,24/22",Keveen Kumar Balasingam,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Vetle Vinnes Bråten,,Brede Stenfeldt,"21/9,21/10",Vetle Vinnes Bråten,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Keveen Kumar Balasingam,,Jonathan Utne Madsøy,"21/13,21/8",Keveen Kumar Balasingam,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Vetle Vinnes Bråten,,Kristoffer Sveen Hjertholm,"21/16,21/19",Vetle Vinnes Bråten,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Jonathan Utne Madsøy,,Brede Stenfeldt,"22/24,21/12,21/17",Jonathan Utne Madsøy,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Kristoffer Sveen Hjertholm,,Brede Stenfeldt,"21/13,14/21,21/12",Kristoffer Sveen Hjertholm,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Vetle Vinnes Bråten,,Keveen Kumar Balasingam,"17/21,21/18,21/17",Vetle Vinnes Bråten,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Keveen Kumar Balasingam,,Kristoffer Sveen Hjertholm,"21/19,21/18",Keveen Kumar Balasingam,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Jonathan Utne Madsøy,,Vetle Vinnes Bråten,"21/15,21/13",Jonathan Utne Madsøy,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Jonathan Utne Madsøy,,Kristoffer Sveen Hjertholm,"21/16,21/17",Jonathan Utne Madsøy,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Keveen Kumar Balasingam,,Brede Stenfeldt,"21/11,24/22",Keveen Kumar Balasingam,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Vetle Vinnes Bråten,,Brede Stenfeldt,"21/9,21/10",Vetle Vinnes Bråten,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Keveen Kumar Balasingam,,Jonathan Utne Madsøy,"21/13,21/8",Keveen Kumar Balasingam,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Vetle Vinnes Bråten,,Kristoffer Sveen Hjertholm,"21/16,21/19",Vetle Vinnes Bråten,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Jonathan Utne Madsøy,,Brede Stenfeldt,"22/24,21/12,21/17",Jonathan Utne Madsøy,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Kristoffer Sveen Hjertholm,,Brede Stenfeldt,"21/13,14/21,21/12",Kristoffer Sveen Hjertholm,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Vetle Vinnes Bråten,,Keveen Kumar Balasingam,"17/21,21/18,21/17",Vetle Vinnes Bråten,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Keveen Kumar Balasingam,,Kristoffer Sveen Hjertholm,"21/19,21/18",Keveen Kumar Balasingam,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Jonathan Utne Madsøy,,Vetle Vinnes Bråten,"21/15,21/13",Jonathan Utne Madsøy,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Julie Langeland Risa,,Marianne Lie,"21/19,19/21,21/12",Julie Langeland Risa,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Nikol Hermansen,,Marianne Lie,"21/15,21/18",Nikol Hermansen,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,,Julie Langeland Risa,,Nikol Hermansen,"7/21,21/18,21/15",Julie Langeland Risa,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Arun Kumar Sharma,Peter Schuster,Edvin Nordbø,Jone Mortensen,"19/21,21/16,21/15",Arun Kumar Sharma,Peter Schuster
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Keveen Kumar Balasingam,Jakob Langeland Risa,Vetle Vinnes Bråten,Brede Stenfeldt,"21/16,21/15",Keveen Kumar Balasingam,Jakob Langeland Risa
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Vetle Vinnes Bråten,Brede Stenfeldt,Edvin Nordbø,Jone Mortensen,"21/15,21/16",Vetle Vinnes Bråten,Brede Stenfeldt
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Keveen Kumar Balasingam,Jakob Langeland Risa,Arun Kumar Sharma,Peter Schuster,"21/3,21/18",Keveen Kumar Balasingam,Jakob Langeland Risa
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Keveen Kumar Balasingam,Jakob Langeland Risa,Edvin Nordbø,Jone Mortensen,"21/17,21/10",Keveen Kumar Balasingam,Jakob Langeland Risa
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Vetle Vinnes Bråten,Brede Stenfeldt,Arun Kumar Sharma,Peter Schuster,"21/13,21/14",Vetle Vinnes Bråten,Brede Stenfeldt
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Mariann Andreassen,Nikol Hermansen,Marianne Lie,Line Klæbo,"21/18,21/17",Mariann Andreassen,Nikol Hermansen
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Julie Langeland Risa,Anne Lie Foldnes,Marianne Lie,Line Klæbo,"21/12,20/22,21/17",Julie Langeland Risa,Anne Lie Foldnes
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN A,Julie Langeland Risa,Anne Lie Foldnes,Mariann Andreassen,Nikol Hermansen,"21/19,11/21,21/18",Julie Langeland Risa,Anne Lie Foldnes
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN B,,Torstein Vikse Olsen,,Christian Lund Haugen,"21/17,21/19",Torstein Vikse Olsen,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN B,,Torstein Vikse Olsen,,Edvin Nordbø,"21/12,21/13",Torstein Vikse Olsen,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN B,,Edvin Nordbø,,Christian Lund Haugen,"21/15,20/22,21/15",Edvin Nordbø,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN B,,Torstein Vikse Olsen,,Christian Lund Haugen,"21/17,21/19",Torstein Vikse Olsen,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN B,,Torstein Vikse Olsen,,Edvin Nordbø,"21/12,21/13",Torstein Vikse Olsen,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN B,,Edvin Nordbø,,Christian Lund Haugen,"21/15,20/22,21/15",Edvin Nordbø,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN B,,Anna Oleyniksson,,Hilde Røssland,"25/23,21/16",Anna Oleyniksson,
2021/2022,Sotra Strilaslaget 2022,28.05.2022,SEN B,,Hilde Røssland,,Line Klæbo,"18/21,21/15,21/17",Hilde Røssland,
