Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Herresingle,,Randi Selle,,Iris Hagen,"21/18,21/13",Randi Selle,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Herresingle,,Stian Ekroll Glenne,,Randi Selle,"21/16,10/21,21/17",Stian Ekroll Glenne,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Herresingle,,Stian Ekroll Glenne,,Iris Hagen,"21/13,21/7",Stian Ekroll Glenne,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Damesingle,,Thea Øyen Selsaas,,Audrina Ammara Darmawan,"21/16,21/18",Thea Øyen Selsaas,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Damesingle,,Ekaja Dubey,,Camilla Skrunes Sundt,"21/15,21/19",Ekaja Dubey,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Damesingle,,Audrina Ammara Darmawan,,Ekaja Dubey,"21/17,21/16",Audrina Ammara Darmawan,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Damesingle,,Thea Øyen Selsaas,,Camilla Skrunes Sundt,"21/14,20/22,22/20",Thea Øyen Selsaas,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Damesingle,,Audrina Ammara Darmawan,,Camilla Skrunes Sundt,"18/21,21/19,21/17",Audrina Ammara Darmawan,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN A,Damesingle,,Thea Øyen Selsaas,,Ekaja Dubey,"21/12,21/18",Thea Øyen Selsaas,
2024/2025,Stavanger Stavanger Open 2024,28.09.2024,SEN B,Herresingle,,Torstein Monsen,,Fery Simbolon,"21/23,21/15,21/13",Torstein Monsen,
