Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN A,Herresingle,,Vijay Ramaswamy,,Manas Dubey,"21/15,21/18",Vijay Ramaswamy,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN A,Herresingle,,Stian Ekroll Glenne,,Randi Selle,"21/15,21/18",Stian Ekroll Glenne,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN A,Herresingle,,Randi Selle,,Vijay Ramaswamy,"21/18,14/21,21/15",Randi Selle,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN A,Herresingle,,Stian Ekroll Glenne,,Manas Dubey,"21/13,21/15",Stian Ekroll Glenne,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN A,Herresingle,,Stian Ekroll Glenne,,Vijay Ramaswamy,"21/17,22/20",Stian Ekroll Glenne,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN A,Herresingle,,Randi Selle,,Manas Dubey,"21/7,21/6",Randi Selle,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN A,Damedouble,Astrid Lovise Pallesen,Randi Selle,Nora Lindanger,Sara Bellesen,"21/8,21/11",Astrid Lovise Pallesen,Randi Selle
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Anders Bellesen,,Elkan Abraham,"21/9,21/14",Anders Bellesen,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Anders Bellesen,,Carl Magnus Woldstad,"21/18,18/21,21/13",Anders Bellesen,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Ivan Sundt,,Tommy Kjær Andersen,"21/18,21/14",Ivan Sundt,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Elkan Abraham,,Ivan Sundt,"9/21,21/17,21/17",Elkan Abraham,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Elkan Abraham,,Tommy Kjær Andersen,"21/5,21/13",Elkan Abraham,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Anders Bellesen,,Peimao Zhang,"21/13,21/16",Anders Bellesen,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Brage Løken-Jacobsen,,Peimao Zhang,"21/11,21/18",Brage Løken-Jacobsen,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Anders Bellesen,,Brage Løken-Jacobsen,"21/13,21/13",Anders Bellesen,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Carl Magnus Woldstad,,Stian Ruud-Larsen,"21/13,21/15",Carl Magnus Woldstad,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Stian Ruud-Larsen,,Emil Lien Akre,"21/9,21/9",Stian Ruud-Larsen,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Herresingle,,Carl Magnus Woldstad,,Emil Lien Akre,"21/10,21/10",Carl Magnus Woldstad,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Damesingle,,Ekaja Dubey,,Sara Bellesen,"21/13,15/21,21/14",Ekaja Dubey,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Damesingle,,Praapthi Rao,,Marina Endresen,"21/14,21/14",Praapthi Rao,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Damesingle,,Sara Bellesen,,Praapthi Rao,"21/18,21/11",Sara Bellesen,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Damesingle,,Sara Bellesen,,Marina Endresen,"21/7,21/10",Sara Bellesen,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Damesingle,,Ekaja Dubey,,Maurina Adriana,"21/16,21/9",Ekaja Dubey,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Damesingle,,Ekaja Dubey,,Tanisha Naimish Doshi,"15/21,21/12,21/10",Ekaja Dubey,
2022/2023,Stavanger Stavanger høst turnering,01.10.2022,SEN C,Damesingle,,Tanisha Naimish Doshi,,Maurina Adriana,"21/18,21/11",Tanisha Naimish Doshi,
