Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Ekaterina Ankhimova,,Irina Beloshitckaia,21/0,Ekaterina Ankhimova,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Liubov Shitsco,,Irina Beloshitckaia,21/0,Liubov Shitsco,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Nina F. Hansen,,Irina Beloshitckaia,21/0,Nina F. Hansen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Nina F. Hansen,,Liubov Shitsco,"21/11,21/12",Nina F. Hansen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Ekaterina Ankhimova,,Nina F. Hansen,"21/11,28/26",Ekaterina Ankhimova,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Liubov Shitsco,,Ekaterina Ankhimova,"21/12,21/7",Liubov Shitsco,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Ekaterina Ankhimova,,Irina Beloshitckaia,21/0,Ekaterina Ankhimova,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Liubov Shitsco,,Irina Beloshitckaia,21/0,Liubov Shitsco,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Nina F. Hansen,,Irina Beloshitckaia,21/0,Nina F. Hansen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Nina F. Hansen,,Liubov Shitsco,"21/11,21/12",Nina F. Hansen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Ekaterina Ankhimova,,Nina F. Hansen,"21/11,28/26",Ekaterina Ankhimova,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,,Liubov Shitsco,,Ekaterina Ankhimova,"21/12,21/7",Liubov Shitsco,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,Ernst Georg Olsen,Ole Salomonsen,Germain Schmid,Tom Brovold,"21/11,14/21,22/20",Ernst Georg Olsen,Ole Salomonsen
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,Nina F. Hansen,Ingelin Espeseth,Vladimir Nesterov,Evgeny Kulakov,"26/24,16/21,21/18",Nina F. Hansen,Ingelin Espeseth
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,Ernst Georg Olsen,Ole Salomonsen,Nina F. Hansen,Ingelin Espeseth,"21/13,21/9",Ernst Georg Olsen,Ole Salomonsen
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,Germain Schmid,Tom Brovold,Vladimir Nesterov,Evgeny Kulakov,"21/13,21/13",Germain Schmid,Tom Brovold
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,Ernst Georg Olsen,Ole Salomonsen,Vladimir Nesterov,Evgeny Kulakov,"21/12,21/15",Ernst Georg Olsen,Ole Salomonsen
2014/2015,Tana Tana Open 2014,11.10.2014,SEN A,Germain Schmid,Tom Brovold,Nina F. Hansen,Ingelin Espeseth,"21/11,21/13",Germain Schmid,Tom Brovold
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Ernst Georg Olsen,,Tom Brovold,"21/19,21/17",Ernst Georg Olsen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Ole Salomonsen,,Andrei Zhulnov,"21/13,21/15",Ole Salomonsen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Ole Salomonsen,,Tom Brovold,"21/12,21/12",Ole Salomonsen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Andrei Zhulnov,,Ernst Georg Olsen,"21/14,21/18",Andrei Zhulnov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Andrey Ermolenko,,Nikolai Korostel,"21/12,15/21,21/19",Andrey Ermolenko,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Ernst Georg Olsen,,Arild Hammeren,"21/6,21/9",Ernst Georg Olsen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Arild Hammeren,,Andrey Ermolenko,"21/18,21/19",Arild Hammeren,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Ernst Georg Olsen,,Nikolai Korostel,"21/16,21/8",Ernst Georg Olsen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Arild Hammeren,,Nikolai Korostel,"21/14,21/15",Arild Hammeren,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Ernst Georg Olsen,,Andrey Ermolenko,"21/9,21/14",Ernst Georg Olsen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Vladimir Nesterov,,Kim Andre Amundsen,"21/15,21/18",Vladimir Nesterov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Vladimir Nesterov,,Marek Kwiatkowski,"21/16,21/15",Vladimir Nesterov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Andrei Zhulnov,,Kim Andre Amundsen,"21/18,21/10",Andrei Zhulnov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Andrei Zhulnov,,Vladimir Nesterov,"21/9,21/9",Andrei Zhulnov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Geir Arne Andersen,,Kim Andre Amundsen,"21/17,25/27,21/16",Geir Arne Andersen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Andrei Zhulnov,,Marek Kwiatkowski,"21/18,21/8",Andrei Zhulnov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Vladimir Nesterov,,Geir Arne Andersen,"21/16,21/15",Vladimir Nesterov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Kim Andre Amundsen,,Marek Kwiatkowski,"21/16,21/18",Kim Andre Amundsen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Andrei Zhulnov,,Geir Arne Andersen,"21/13,21/7",Andrei Zhulnov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Geir Arne Andersen,,Marek Kwiatkowski,"21/13,21/18",Geir Arne Andersen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Bård Sivertsen,,Ståle Henriksen,"21/11,21/8",Bård Sivertsen,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Evgeny Kulakov,,Ingelin Espeseth,"21/18,21/15",Evgeny Kulakov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Tom Brovold,,Evgeny Kulakov,"19/21,21/17,21/6",Tom Brovold,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Evgeny Kulakov,,Ståle Henriksen,"21/15,21/12",Evgeny Kulakov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Ingelin Espeseth,,Bård Sivertsen,"21/18,21/17",Ingelin Espeseth,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Evgeny Kulakov,,Bård Sivertsen,"21/11,21/13",Evgeny Kulakov,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Tom Brovold,,Ingelin Espeseth,"18/21,21/13,25/23",Tom Brovold,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Ingelin Espeseth,,Ståle Henriksen,"21/3,21/5",Ingelin Espeseth,
2014/2015,Tana Tana Open 2014,11.10.2014,SEN B,,Tom Brovold,,Bård Sivertsen,"21/11,21/13",Tom Brovold,
