Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Malvind Børresen,,Bjørn Floer,"21/0,21/0",Malvind Børresen,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Andrine-Mikaela Kristiansen,,Malvind Børresen,"21/11,21/14",Andrine-Mikaela Kristiansen,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Silas Saga Fløystad,,Malvind Børresen,"21/14,21/13",Silas Saga Fløystad,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Silas Saga Fløystad,,Andrine-Mikaela Kristiansen,"21/16,21/14",Silas Saga Fløystad,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Silas Saga Fløystad,,Bjørn Floer,"21/0,21/0",Silas Saga Fløystad,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Andreas Saga Romsdal,,Andrine-Mikaela Kristiansen,"21/18,21/18",Andreas Saga Romsdal,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Andrine-Mikaela Kristiansen,,Bjørn Floer,"21/0,21/0",Andrine-Mikaela Kristiansen,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Andreas Saga Romsdal,,Malvind Børresen,"21/11,21/3",Andreas Saga Romsdal,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Andreas Saga Romsdal,,Bjørn Floer,"21/0,21/0",Andreas Saga Romsdal,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herresingle,,Silas Saga Fløystad,,Andreas Saga Romsdal,"21/13,21/16",Silas Saga Fløystad,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herredouble,Violetta Roskova,Ngamata Pedersen,Freddy Øien,Andreas Saga Romsdal,"21/19,21/13",Violetta Roskova,Ngamata Pedersen
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herredouble,Freddy Øien,Andreas Saga Romsdal,Martin Svenske,John Stefan Lyngvær,"21/13,21/12",Freddy Øien,Andreas Saga Romsdal
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herredouble,Violetta Roskova,Ngamata Pedersen,Martin Svenske,John Stefan Lyngvær,"21/12,21/9",Violetta Roskova,Ngamata Pedersen
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herredouble,Bjørn Floer,Silas Saga Fløystad,Freddy Øien,Andreas Saga Romsdal,"21/3,21/10",Bjørn Floer,Silas Saga Fløystad
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herredouble,Bjørn Floer,Silas Saga Fløystad,Violetta Roskova,Ngamata Pedersen,"21/13,21/13",Bjørn Floer,Silas Saga Fløystad
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Herredouble,Bjørn Floer,Silas Saga Fløystad,Martin Svenske,John Stefan Lyngvær,"21/7,21/3",Bjørn Floer,Silas Saga Fløystad
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Andrine-Mikaela Kristiansen,Bjørn Inge Lund,Violetta Roskova,Morten Johnsen,"21/12,21/16",Andrine-Mikaela Kristiansen,Bjørn Inge Lund
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Violetta Roskova,Morten Johnsen,Elisabeth Iversen,Mykhailo Prokopovych,"21/10,21/5",Violetta Roskova,Morten Johnsen
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Andrine-Mikaela Kristiansen,Bjørn Inge Lund,Ida Fløystad,Andreas Saga Romsdal,"21/6,21/11",Andrine-Mikaela Kristiansen,Bjørn Inge Lund
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Jenica Sibayan,Silas Saga Fløystad,Elisabeth Iversen,Mykhailo Prokopovych,"21/11,21/10",Jenica Sibayan,Silas Saga Fløystad
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Andrine-Mikaela Kristiansen,Bjørn Inge Lund,Jenica Sibayan,Silas Saga Fløystad,"21/9,21/10",Andrine-Mikaela Kristiansen,Bjørn Inge Lund
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Violetta Roskova,Morten Johnsen,Ida Fløystad,Andreas Saga Romsdal,"21/18,21/14",Violetta Roskova,Morten Johnsen
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Andrine-Mikaela Kristiansen,Bjørn Inge Lund,Elisabeth Iversen,Mykhailo Prokopovych,"21/8,21/5",Andrine-Mikaela Kristiansen,Bjørn Inge Lund
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Jenica Sibayan,Silas Saga Fløystad,Violetta Roskova,Morten Johnsen,"21/6,21/6",Jenica Sibayan,Silas Saga Fløystad
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Ida Fløystad,Andreas Saga Romsdal,Elisabeth Iversen,Mykhailo Prokopovych,"21/5,21/18",Ida Fløystad,Andreas Saga Romsdal
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Jenica Sibayan,Silas Saga Fløystad,Ida Fløystad,Andreas Saga Romsdal,"21/12,18/21,21/12",Jenica Sibayan,Silas Saga Fløystad
