Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Gintars Rundelis,,Cyril Portugues,"19/21,21/9,21/17",Gintars Rundelis,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Hans Andreas Karlsen,,Ole Salomonsen,"21/14,21/13",Hans Andreas Karlsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Hans Andreas Karlsen,,Cyril Portugues,"17/21,21/18,21/14",Hans Andreas Karlsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Ole Salomonsen,,Gintars Rundelis,"21/13,7/21,21/18",Ole Salomonsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Gintars Rundelis,,Kjell Fors,"22/20,21/18",Gintars Rundelis,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Cyril Portugues,,Bjørn Rakstang,"21/15,21/11",Cyril Portugues,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Kari Ylivirta,,Geir Arne Andersen,"21/15,21/11",Kari Ylivirta,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Hans Andreas Karlsen,,Kari Ylivirta,"21/2,21/7",Hans Andreas Karlsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Hans Andreas Karlsen,,Geir Arne Andersen,"21/5,21/5",Hans Andreas Karlsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Ernst Georg Olsen,,Niclas Thörn,"21/18,21/11",Ernst Georg Olsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Bjørn Rakstang,,Ernst Georg Olsen,"22/20,16/21,21/19",Bjørn Rakstang,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Bjørn Rakstang,,Niclas Thörn,"19/21,21/7,21/11",Bjørn Rakstang,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Cyril Portugues,,Tore Nilsen,"21/10,19/21,21/7",Cyril Portugues,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Cyril Portugues,,Tarjei Bruaas,"21/13,21/6",Cyril Portugues,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Tore Nilsen,,Tarjei Bruaas,"21/9,21/6",Tore Nilsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Kjell Fors,,Tom Brovold,"21/13,21/19",Kjell Fors,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Tom Brovold,,Rune Enoksen,"21/11,14/21,21/14",Tom Brovold,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Kjell Fors,,Rune Enoksen,"21/7,21/12",Kjell Fors,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Gintars Rundelis,,Vegar Næss,"21/17,21/8",Gintars Rundelis,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Vegar Næss,,Ketil Olsen,"21/12,21/14",Vegar Næss,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Gintars Rundelis,,Ketil Olsen,"21/6,18/21,21/9",Gintars Rundelis,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Fredrik Pedersen,,Pankaj Bhart,"21/13,21/14",Fredrik Pedersen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Ole Salomonsen,,Anders Lindberg,"21/18,21/10",Ole Salomonsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Fredrik Pedersen,,Anders Lindberg,"18/21,21/16,21/13",Fredrik Pedersen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Ole Salomonsen,,Pankaj Bhart,"21/10,21/8",Ole Salomonsen,
2014/2015,Tromsø Arctic Open,16.01.2015,SEN A,,Anders Lindberg,,Pankaj Bhart,"21/15,21/10",Anders Lindberg,
