Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Lasse Nyheim,,Anders Lindberg,"21/19,21/19",Lasse Nyheim,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Anders Lindberg,,Ernst Georg Olsen,"21/13,21/19",Anders Lindberg,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Lasse Nyheim,,Gintars Rundelis,"21/19,21/19",Lasse Nyheim,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Gintars Rundelis,,Hans Andreas Karlsen,"21/5,21/13",Gintars Rundelis,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Anders Lindberg,,Nguyen Minh Nhat,"21/0,21/0",Anders Lindberg,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Anders Lindberg,,Erlend Kruksve,"21/14,21/23,21/19",Anders Lindberg,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Ernst Georg Olsen,,Kent Nyheim,"21/11,21/17",Ernst Georg Olsen,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Tarjei Bruaas,,Halldór Reynisson,"21/0,21/0",Tarjei Bruaas,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Ernst Georg Olsen,,Tarjei Bruaas,"21/14,21/15",Ernst Georg Olsen,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Tarjei Bruaas,,Kent Nyheim,"21/13,10/21,21/14",Tarjei Bruaas,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Gintars Rundelis,,Vegar Næss,"21/15,21/11",Gintars Rundelis,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Martin Brekke Hjellestad,,Vegar Næss,"23/21,24/26,21/15",Martin Brekke Hjellestad,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Gintars Rundelis,,Martin Brekke Hjellestad,"20/22,21/10,21/12",Gintars Rundelis,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Andreas Haglund,,Torstein Monsen,"21/19,21/13",Andreas Haglund,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Hans Andreas Karlsen,,Andreas Haglund,"21/13,21/15",Hans Andreas Karlsen,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Hans Andreas Karlsen,,Torstein Monsen,"21/12,21/7",Hans Andreas Karlsen,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Lasse Nyheim,,Magnus Knapperholen,"21/0,21/0",Lasse Nyheim,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Tore Nilsen,,Rolf Ove Karlsen,"16/21,22/20,22/20",Tore Nilsen,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Lasse Nyheim,,Rolf Ove Karlsen,"21/0,21/0",Lasse Nyheim,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herresingle,,Lasse Nyheim,,Tore Nilsen,"21/17,21/15",Lasse Nyheim,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damesingle,,Maria Jiangli Stenrud,,Emma Lindberg,"21/12,21/17",Maria Jiangli Stenrud,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damesingle,,Karoline Lerengen,,Emma Lindberg,"18/21,21/14,21/14",Karoline Lerengen,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damesingle,,Maria Jiangli Stenrud,,Karoline Lerengen,"21/12,21/13",Maria Jiangli Stenrud,
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Erlend Kruksve,Rolf Ove Karlsen,Anders Lindberg,Niclas Thörn,"14/21,21/16,21/12",Erlend Kruksve,Rolf Ove Karlsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Lasse Nyheim,Hans Andreas Karlsen,Erlend Kruksve,Rolf Ove Karlsen,"21/17,21/19",Lasse Nyheim,Hans Andreas Karlsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Lasse Nyheim,Hans Andreas Karlsen,Anders Lindberg,Niclas Thörn,"23/21,21/16",Lasse Nyheim,Hans Andreas Karlsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Erlend Kruksve,Rolf Ove Karlsen,Martin Brekke Hjellestad,Tarjei Bruaas,"21/14,21/10",Erlend Kruksve,Rolf Ove Karlsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Andreas Haglund,Gintars Rundelis,Aleksander  Røeggen Johansen,Kristian Løe,"21/14,21/15",Andreas Haglund,Gintars Rundelis
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Anders Lindberg,Niclas Thörn,Andreas Haglund,Gintars Rundelis,"21/19,24/22",Anders Lindberg,Niclas Thörn
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Anders Lindberg,Niclas Thörn,Aleksander  Røeggen Johansen,Kristian Løe,"21/8,17/21,21/9",Anders Lindberg,Niclas Thörn
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Lasse Nyheim,Hans Andreas Karlsen,Torstein Monsen,Kent Nyheim,"21/13,21/16",Lasse Nyheim,Hans Andreas Karlsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Torstein Monsen,Kent Nyheim,Tore Nilsen,Vegar Næss,"21/19,21/14",Torstein Monsen,Kent Nyheim
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Herredouble,Lasse Nyheim,Hans Andreas Karlsen,Tore Nilsen,Vegar Næss,"21/12,21/12",Lasse Nyheim,Hans Andreas Karlsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Maria Jiangli Stenrud,Anja Olsen,Rikke Nyheim,Karoline Lerengen,"21/16,21/13",Maria Jiangli Stenrud,Anja Olsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Anja Niemi,Merete Andreassen,Andrine-Mikaela Kristiansen,Sigrid Forsland,"21/14,21/8",Anja Niemi,Merete Andreassen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Rikke Nyheim,Karoline Lerengen,Maria Eklund,Kirsten Gulbrandsen,"15/21,21/12,21/9",Rikke Nyheim,Karoline Lerengen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Anja Niemi,Merete Andreassen,Maria Eklund,Kirsten Gulbrandsen,"21/19,21/10",Anja Niemi,Merete Andreassen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Rikke Nyheim,Karoline Lerengen,Andrine-Mikaela Kristiansen,Sigrid Forsland,"21/14,19/21,21/18",Rikke Nyheim,Karoline Lerengen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Rikke Nyheim,Karoline Lerengen,Anja Niemi,Merete Andreassen,"25/27,21/19,21/15",Rikke Nyheim,Karoline Lerengen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Maria Eklund,Kirsten Gulbrandsen,Andrine-Mikaela Kristiansen,Sigrid Forsland,"21/9,21/15",Maria Eklund,Kirsten Gulbrandsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Maria Jiangli Stenrud,Anja Olsen,Leonie Johann,Renate Haug Lien,"21/9,21/7",Maria Jiangli Stenrud,Anja Olsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Mari Hildung,Cathrine Schanche,Remi Matsunari,Yngvild Buraas,"21/9,21/18",Mari Hildung,Cathrine Schanche
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Mari Hildung,Cathrine Schanche,Leonie Johann,Renate Haug Lien,"21/9,21/8",Mari Hildung,Cathrine Schanche
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Maria Jiangli Stenrud,Anja Olsen,Remi Matsunari,Yngvild Buraas,"21/4,21/6",Maria Jiangli Stenrud,Anja Olsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Remi Matsunari,Yngvild Buraas,Leonie Johann,Renate Haug Lien,"21/18,21/14",Remi Matsunari,Yngvild Buraas
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Damedouble,Maria Jiangli Stenrud,Anja Olsen,Mari Hildung,Cathrine Schanche,"21/11,21/8",Maria Jiangli Stenrud,Anja Olsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Mixeddouble,Erlend Kruksve,Karoline Lerengen,Anders Lindberg,Emma Lindberg,"9/21,21/13,21/19",Erlend Kruksve,Karoline Lerengen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Mixeddouble,Andreas Haglund,Eva Forsaa Åbotsvik,Anders Lindberg,Emma Lindberg,"21/16,14/21,21/13",Andreas Haglund,Eva Forsaa Åbotsvik
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Mixeddouble,Erlend Kruksve,Karoline Lerengen,Andreas Haglund,Eva Forsaa Åbotsvik,"21/19,21/18",Erlend Kruksve,Karoline Lerengen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Mixeddouble,Lasse Nyheim,Henriette  Ellingsen,Erlend Kruksve,Karoline Lerengen,"21/16,21/6",Lasse Nyheim,Henriette  Ellingsen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Mixeddouble,Hans Andreas Karlsen,Merete Andreassen,Erlend Kruksve,Karoline Lerengen,"22/20,21/13",Hans Andreas Karlsen,Merete Andreassen
2017/2018,Tromsø Arctic Open ,09.02.2018,SEN A,Mixeddouble,Lasse Nyheim,Henriette  Ellingsen,Hans Andreas Karlsen,Merete Andreassen,"21/19,21/17",Lasse Nyheim,Henriette  Ellingsen
