Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Gintars Rundelis,,Anders Lindberg,"21/14,21/23,21/18",Gintars Rundelis,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Lasse Nyheim,,Vegar Næss,"21/11,21/16",Lasse Nyheim,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Anders Lindberg,,Khai Jun,"19/21,21/19,21/17",Anders Lindberg,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Lasse Nyheim,,Gintars Rundelis,"21/11,22/20",Lasse Nyheim,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Gintars Rundelis,,Khai Jun,"21/19,21/11",Gintars Rundelis,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Anders Lindberg,,Vegar Næss,"15/21,22/20,21/17",Anders Lindberg,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Vegar Næss,,Khai Jun,"21/9,21/11",Vegar Næss,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Lasse Nyheim,,Anders Lindberg,"21/11,21/18",Lasse Nyheim,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Lasse Nyheim,,Khai Jun,"21/7,21/5",Lasse Nyheim,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herresingle,,Gintars Rundelis,,Vegar Næss,"21/18,21/10",Gintars Rundelis,
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herredouble,Anders Lindberg,Niclas Thörn,Pankaj Bhart,Khai Jun,"21/15,22/20",Anders Lindberg,Niclas Thörn
2023/2024,Tromsø Tromsøpalmen,23.09.2023,SEN A,Herredouble,Lasse Nyheim,Kent Nyheim,Oskar Løkka Hansen,Sturla Hansen,"21/13,14/21,21/18",Lasse Nyheim,Kent Nyheim
