Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Åsmund Oma,,Fredrik Lian,"21/7,21/15",Åsmund Oma,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Fredrik Lian,,Rune Oterhals,"20/22,21/16,21/13",Fredrik Lian,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Åsmund Oma,,Thomas Pedersen,"16/21,21/16,21/18",Åsmund Oma,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Rune Oterhals,,Sebastian Bøe,"21/15,21/14",Rune Oterhals,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Thomas Pedersen,,Amund Skavhaug,"21/16,18/21,21/17",Thomas Pedersen,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Åsmund Oma,,Petter Svendsen,"23/21,14/21,21/19",Åsmund Oma,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Åsmund Oma,,Erlend Kruksve,"21/10,21/15",Åsmund Oma,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Petter Svendsen,,Vegard Strand,"21/10,21/6",Petter Svendsen,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Åsmund Oma,,Vegard Strand,"21/9,21/16",Åsmund Oma,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Petter Svendsen,,Erlend Kruksve,"19/21,21/11,21/16",Petter Svendsen,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Erlend Kruksve,,Vegard Strand,"21/14,21/10",Erlend Kruksve,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Thomas Pedersen,,Even Langås Kvam,"21/15,18/21,21/8",Thomas Pedersen,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Amund Skavhaug,,Mustafa Jarallah,"21/17,21/13",Amund Skavhaug,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Sebastian Bøe,,Gonçalo Ribeiro,"21/14,6/21,21/19",Sebastian Bøe,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Sebastian Bøe,,Jonas J Grande,"21/5,21/17",Sebastian Bøe,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Gonçalo Ribeiro,,Jonas J Grande,"21/13,21/15",Gonçalo Ribeiro,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Odin Mauset Skaugen,,Lilei Mao,"21/15,21/11",Odin Mauset Skaugen,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Rune Oterhals,,Lilei Mao,"21/19,21/13",Rune Oterhals,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Rune Oterhals,,Odin Mauset Skaugen,"21/9,21/14",Rune Oterhals,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Christian Asbjørnsen,,Jinbang Hu,"21/14,23/21",Christian Asbjørnsen,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Fredrik Lian,,Esben Bjørkmann Pettersen,"21/13,21/16",Fredrik Lian,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Christian Asbjørnsen,,Esben Bjørkmann Pettersen,"21/12,15/21,21/7",Christian Asbjørnsen,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Fredrik Lian,,Jinbang Hu,"21/9,21/18",Fredrik Lian,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Jinbang Hu,,Esben Bjørkmann Pettersen,"21/17,21/17",Jinbang Hu,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herresingle,,Fredrik Lian,,Christian Asbjørnsen,"21/11,21/19",Fredrik Lian,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Laura de Haan,,Emilie Faarup Storvik,"20/22,21/16,21/11",Laura de Haan,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Laura de Haan,,Trine Sperre,"21/14,22/20",Laura de Haan,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Laura de Haan,,Silje V. Kruksve Aasland,"21/14,21/7",Laura de Haan,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Trine Sperre,,Silje V. Kruksve Aasland,"21/17,21/14",Trine Sperre,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Runa Korshavn,,Marte Stokkaune,"21/12,21/17",Runa Korshavn,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Marte Stokkaune,,Gunn Fiskergaard,"12/21,21/16,21/14",Marte Stokkaune,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Emilie Faarup Storvik,,Gunn Fiskergaard,"21/18,21/12",Emilie Faarup Storvik,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Emilie Faarup Storvik,,Runa Korshavn,"21/16,21/16",Emilie Faarup Storvik,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Emilie Faarup Storvik,,Marte Stokkaune,"21/6,21/19",Emilie Faarup Storvik,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Damesingle,,Runa Korshavn,,Gunn Fiskergaard,"21/10,21/13",Runa Korshavn,
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herredouble,Petter Svendsen,Rune Oterhals,Amund Skavhaug,Robert Barø,"21/10,22/20",Petter Svendsen,Rune Oterhals
2019/2020,Trondheim KM Midtnorsk Sør 2019 / Trondheim Open,18.10.2019,SEN A,Herredouble,Petter Svendsen,Rune Oterhals,Thomas Pedersen,Lars Valentin,"21/13,21/19",Petter Svendsen,Rune Oterhals
