Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Kai Roger Stensen,,Anders Haugland,"21/17,21/13",Kai Roger Stensen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Anders Haugland,,Kristoffer Brandsås Berg,"21/7,21/0",Anders Haugland,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,William R. Barø,,Leonard Meyer Nordnes,"17/21,21/10,21/9",William R. Barø,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Kai Roger Stensen,,William R. Barø,"21/15,21/11",Kai Roger Stensen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Kai Roger Stensen,,Leonard Meyer Nordnes,"21/17,21/17",Kai Roger Stensen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Kristoffer Brandsås Berg,,Shuwen Yang,"21/11,21/8",Kristoffer Brandsås Berg,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Roar Natvig,,Shuwen Yang,"21/13,21/16",Roar Natvig,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Kristoffer Brandsås Berg,,Roar Natvig,"21/19,21/15",Kristoffer Brandsås Berg,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Anders Haugland,,Erik Måøy,"21/10,21/18",Anders Haugland,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Anders Haugland,,Rolf Ove Karlsen,"21/17,12/21,21/13",Anders Haugland,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herresingle,,Rolf Ove Karlsen,,Erik Måøy,"21/14,21/19",Rolf Ove Karlsen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herredouble,Kai Roger Stensen,William R. Barø,Anders Haugland,Kristoffer Brandsås Berg,"21/11,21/14",Kai Roger Stensen,William R. Barø
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herredouble,Rolf Ove Karlsen,Trond Mære,Kristian Hyllestad,Robert Barø,"21/16,21/18",Rolf Ove Karlsen,Trond Mære
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herredouble,Anders Haugland,Kristoffer Brandsås Berg,Kristian Hyllestad,Robert Barø,"21/8,25/23",Anders Haugland,Kristoffer Brandsås Berg
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herredouble,Anders Haugland,Kristoffer Brandsås Berg,Rolf Ove Karlsen,Trond Mære,"21/17,21/16",Anders Haugland,Kristoffer Brandsås Berg
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herredouble,Hari Shankar Chembeti,Bård Vegard Bævre,Lars Erik Karlsen,Roar Natvig,"21/18,21/17",Hari Shankar Chembeti,Bård Vegard Bævre
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herredouble,Kai Roger Stensen,William R. Barø,Lars Erik Karlsen,Roar Natvig,"21/15,21/16",Kai Roger Stensen,William R. Barø
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Herredouble,Kai Roger Stensen,William R. Barø,Hari Shankar Chembeti,Bård Vegard Bævre,"21/10,21/19",Kai Roger Stensen,William R. Barø
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Rolf Ove Karlsen,Anne Berit Bergsmo,Hildegunn Måøy,Fred Moen,"21/17,26/24",Rolf Ove Karlsen,Anne Berit Bergsmo
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Rolf Ove Karlsen,Anne Berit Bergsmo,Shuwen Yang,William R. Barø,"21/13,21/14",Rolf Ove Karlsen,Anne Berit Bergsmo
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Shuwen Yang,William R. Barø,Linn Aasland,Robin Kruksve Krux,"21/13,14/21,21/6",Shuwen Yang,William R. Barø
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Trond Mære,Anita Olsen,Rolf Ove Karlsen,Anne Berit Bergsmo,"21/18,24/22",Trond Mære,Anita Olsen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Hildegunn Måøy,Fred Moen,Linn Aasland,Robin Kruksve Krux,"26/24,21/12",Hildegunn Måøy,Fred Moen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Trond Mære,Anita Olsen,Linn Aasland,Robin Kruksve Krux,"21/11,21/7",Trond Mære,Anita Olsen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Shuwen Yang,William R. Barø,Hildegunn Måøy,Fred Moen,"21/16,21/18",Shuwen Yang,William R. Barø
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Trond Mære,Anita Olsen,Shuwen Yang,William R. Barø,"21/12,18/21,21/14",Trond Mære,Anita Olsen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Trond Mære,Anita Olsen,Hildegunn Måøy,Fred Moen,"21/11,22/20",Trond Mære,Anita Olsen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN A,Mixeddouble,Rolf Ove Karlsen,Anne Berit Bergsmo,Linn Aasland,Robin Kruksve Krux,"15/8,21/5",Rolf Ove Karlsen,Anne Berit Bergsmo
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herresingle,,Kristian Hyllestad,,Harald Buvik,"19/21,21/19,21/11",Kristian Hyllestad,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herresingle,,Robert Barø,,Lars Petter Danielsen,"21/18,21/11",Robert Barø,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herresingle,,Lars Petter Danielsen,,Harald Buvik,"21/17,21/17",Lars Petter Danielsen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herresingle,,Robert Barø,,Kristian Hyllestad,"21/15,21/15",Robert Barø,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herresingle,,Robert Barø,,Harald Buvik,"21/7,21/10",Robert Barø,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herresingle,,Lars Petter Danielsen,,Kristian Hyllestad,"21/17,21/11",Lars Petter Danielsen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herredouble,Fred Moen,Runar Måøy,Robin Kruksve Krux,Fredrik Nilssen,"21/19,21/7",Fred Moen,Runar Måøy
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herredouble,Fred Moen,Runar Måøy,Lars Petter Danielsen,Erik Måøy,"21/10,21/15",Fred Moen,Runar Måøy
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herredouble,Fred Moen,Runar Måøy,Jørgen Olsen,Marius Olsen,"21/11,21/10",Fred Moen,Runar Måøy
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herredouble,Jørgen Olsen,Marius Olsen,Lars Petter Danielsen,Erik Måøy,"21/19,21/18",Jørgen Olsen,Marius Olsen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herredouble,Robin Kruksve Krux,Fredrik Nilssen,Hildegunn Måøy,Shuwen Yang,"19/21,21/16,21/15",Robin Kruksve Krux,Fredrik Nilssen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herredouble,Hildegunn Måøy,Shuwen Yang,Stig Gåsbakk,Harald Buvik,"13/21,21/19,21/17",Hildegunn Måøy,Shuwen Yang
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN B,Herredouble,Robin Kruksve Krux,Fredrik Nilssen,Stig Gåsbakk,Harald Buvik,"21/12,22/20",Robin Kruksve Krux,Fredrik Nilssen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herresingle,,Asgeir Våbenø Berg,,Jørgen Olsen,"21/10,21/8",Asgeir Våbenø Berg,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herresingle,,Asgeir Våbenø Berg,,Marius Olsen,"21/12,21/13",Asgeir Våbenø Berg,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herresingle,,Asgeir Våbenø Berg,,Stig Gåsbakk,"21/4,22/20",Asgeir Våbenø Berg,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herresingle,,Marius Olsen,,Stig Gåsbakk,"21/9,21/17",Marius Olsen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herresingle,,Jørgen Olsen,,Mattis Sæther-Danielsen,"21/11,21/15",Jørgen Olsen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herresingle,,Mattis Sæther-Danielsen,,Fredrik Nilssen,"21/12,17/21,25/23",Mattis Sæther-Danielsen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herresingle,,Jørgen Olsen,,Fredrik Nilssen,"16/21,21/19,21/18",Jørgen Olsen,
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Anita Olsen,Anne Berit Bergsmo,Marius Aspaas,Kenneth Haagenstad,"21/8,23/21",Anita Olsen,Anne Berit Bergsmo
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Asgeir Våbenø Berg,Terje Knutseth,Anita Olsen,Anne Berit Bergsmo,"19/21,21/15,21/19",Asgeir Våbenø Berg,Terje Knutseth
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Marius Aspaas,Kenneth Haagenstad,John Thomas Krogstad,Tom Smebye,"21/13,22/20",Marius Aspaas,Kenneth Haagenstad
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Erik Winger,Jan Aage Nyborg,Anita Olsen,Anne Berit Bergsmo,"19/21,21/13,21/18",Erik Winger,Jan Aage Nyborg
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Asgeir Våbenø Berg,Terje Knutseth,John Thomas Krogstad,Tom Smebye,"21/16,21/9",Asgeir Våbenø Berg,Terje Knutseth
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Erik Winger,Jan Aage Nyborg,Marius Aspaas,Kenneth Haagenstad,"21/10,14/21,21/16",Erik Winger,Jan Aage Nyborg
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Asgeir Våbenø Berg,Terje Knutseth,Marius Aspaas,Kenneth Haagenstad,"21/9,21/16",Asgeir Våbenø Berg,Terje Knutseth
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,John Thomas Krogstad,Tom Smebye,Erik Winger,Jan Aage Nyborg,"21/15,21/18",John Thomas Krogstad,Tom Smebye
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Erik Winger,Jan Aage Nyborg,Asgeir Våbenø Berg,Terje Knutseth,"21/19,10/21,22/20",Erik Winger,Jan Aage Nyborg
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Herredouble,Anita Olsen,Anne Berit Bergsmo,John Thomas Krogstad,Tom Smebye,"21/19,21/16",Anita Olsen,Anne Berit Bergsmo
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Damedouble,Marte Aasen Jensen,Aina Kaspersen,MARTE EGGEN,Vivild Våbenø Berg,"21/17,21/13",Marte Aasen Jensen,Aina Kaspersen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Damedouble,Ida Marie Oxaas,Ina Stenkjær,Marte Aasen Jensen,Aina Kaspersen,"21/9,21/9",Ida Marie Oxaas,Ina Stenkjær
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Damedouble,MARTE EGGEN,Vivild Våbenø Berg,Linda Våbenø Berg,Malin Sæther-Danielsen,"21/18,21/16",MARTE EGGEN,Vivild Våbenø Berg
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Damedouble,Marte Aasen Jensen,Aina Kaspersen,Linda Våbenø Berg,Malin Sæther-Danielsen,"21/11,18/21,21/14",Marte Aasen Jensen,Aina Kaspersen
2022/2023,Verdal Verdalstreffen,17.02.2023,SEN C,Damedouble,Ida Marie Oxaas,Ina Stenkjær,MARTE EGGEN,Vivild Våbenø Berg,"21/8,21/11",Ida Marie Oxaas,Ina Stenkjær
