Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Fredrik Lian,Robin Kruksve Krux,Erlend Kruksve,Vebjørn Rønne,"21/15,21/13",Fredrik Lian,Robin Kruksve Krux
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Trond Mære,Roar Natvig,Frode Wold,Odd Helge Gåsbakk,"21/10,21/14",Trond Mære,Roar Natvig
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Fredrik Lian,Robin Kruksve Krux,Lars Erik Karlsen,Steinar Fornes,"15/21,21/18,21/15",Fredrik Lian,Robin Kruksve Krux
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Trond Mære,Roar Natvig,Erlend Kruksve,Vebjørn Rønne,"21/11,21/14",Trond Mære,Roar Natvig
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Lars Erik Karlsen,Steinar Fornes,Frode Wold,Odd Helge Gåsbakk,"21/15,21/15",Lars Erik Karlsen,Steinar Fornes
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Trond Mære,Roar Natvig,Fredrik Lian,Robin Kruksve Krux,"21/16,18/21,21/12",Trond Mære,Roar Natvig
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Fredrik Lian,Robin Kruksve Krux,Frode Wold,Odd Helge Gåsbakk,"21/15,21/7",Fredrik Lian,Robin Kruksve Krux
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Lars Erik Karlsen,Steinar Fornes,Erlend Kruksve,Vebjørn Rønne,"21/18,21/12",Lars Erik Karlsen,Steinar Fornes
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Trond Mære,Roar Natvig,Lars Erik Karlsen,Steinar Fornes,"21/19,21/19",Trond Mære,Roar Natvig
2014/2015,Verdal Øradobbelen,13.09.2014,SEN A,Herredouble,Erlend Kruksve,Vebjørn Rønne,Frode Wold,Odd Helge Gåsbakk,"21/14,21/19",Erlend Kruksve,Vebjørn Rønne
2014/2015,Verdal Øradobbelen,13.09.2014,SEN B,Mixeddouble,Ingalill Mikalsen,Fredrik Lian,Anne Berit Bergsmo,Lars Erik Karlsen,"21/10,26/24",Ingalill Mikalsen,Fredrik Lian
2014/2015,Verdal Øradobbelen,13.09.2014,SEN B,Mixeddouble,Hilde Vatterholm,Roar Natvig,Ingalill Mikalsen,Fredrik Lian,"21/15,21/11",Hilde Vatterholm,Roar Natvig
2014/2015,Verdal Øradobbelen,13.09.2014,SEN B,Mixeddouble,Anita Olsen,Trond Mære,Anne Berit Bergsmo,Lars Erik Karlsen,"12/21,26/24,21/12",Anita Olsen,Trond Mære
2014/2015,Verdal Øradobbelen,13.09.2014,SEN B,Mixeddouble,Anita Olsen,Trond Mære,Hilde Vatterholm,Roar Natvig,"21/11,17/21,21/11",Anita Olsen,Trond Mære
2014/2015,Verdal Øradobbelen,13.09.2014,SEN B,Mixeddouble,Anita Olsen,Trond Mære,Ingalill Mikalsen,Fredrik Lian,"21/18,21/19",Anita Olsen,Trond Mære
2014/2015,Verdal Øradobbelen,13.09.2014,SEN B,Mixeddouble,Hilde Vatterholm,Roar Natvig,Anne Berit Bergsmo,Lars Erik Karlsen,"21/18,22/20",Hilde Vatterholm,Roar Natvig
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Helge Hansen,Geir Olsen,Oddbjørn Svinsås,Ivan Hegseth,"16/21,21/16,21/17",Helge Hansen,Geir Olsen
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Anita Olsen,Hilde Vatterholm,Oddvar Mikalsen,Ingalill Mikalsen,"21/8,21/8",Anita Olsen,Hilde Vatterholm
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Anita Olsen,Hilde Vatterholm,Helge Hansen,Geir Olsen,"21/14,21/13",Anita Olsen,Hilde Vatterholm
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Anders Grande,Svend Helge Hegseth,Oddvar Mikalsen,Ingalill Mikalsen,"21/16,21/14",Anders Grande,Svend Helge Hegseth
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Anders Grande,Svend Helge Hegseth,Anita Olsen,Hilde Vatterholm,"21/11,21/13",Anders Grande,Svend Helge Hegseth
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Oddbjørn Svinsås,Ivan Hegseth,Oddvar Mikalsen,Ingalill Mikalsen,"21/15,21/7",Oddbjørn Svinsås,Ivan Hegseth
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Oddbjørn Svinsås,Ivan Hegseth,Anita Olsen,Hilde Vatterholm,"17/21,21/15,21/18",Oddbjørn Svinsås,Ivan Hegseth
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Anders Grande,Svend Helge Hegseth,Helge Hansen,Geir Olsen,"21/12,21/12",Anders Grande,Svend Helge Hegseth
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Anders Grande,Svend Helge Hegseth,Oddbjørn Svinsås,Ivan Hegseth,"21/6,21/8",Anders Grande,Svend Helge Hegseth
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Herredouble,Oddvar Mikalsen,Ingalill Mikalsen,Helge Hansen,Geir Olsen,"21/17,21/16",Oddvar Mikalsen,Ingalill Mikalsen
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Mixeddouble,Nina Stenkjær,Anders Grande,Frode Wold,Kristin Wold,"21/3,21/7",Nina Stenkjær,Anders Grande
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Mixeddouble,Elise Sand,Robin Kruksve Krux,Jenny Aalberg,Erlend Kruksve,"13/21,29/27,21/18",Elise Sand,Robin Kruksve Krux
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Mixeddouble,Elise Sand,Robin Kruksve Krux,Nina Stenkjær,Anders Grande,"21/19,21/16",Elise Sand,Robin Kruksve Krux
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Mixeddouble,Jenny Aalberg,Erlend Kruksve,Frode Wold,Kristin Wold,"21/9,21/10",Jenny Aalberg,Erlend Kruksve
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Mixeddouble,Nina Stenkjær,Anders Grande,Jenny Aalberg,Erlend Kruksve,"21/12,21/14",Nina Stenkjær,Anders Grande
2014/2015,Verdal Øradobbelen,13.09.2014,SEN C,Mixeddouble,Elise Sand,Robin Kruksve Krux,Frode Wold,Kristin Wold,"21/6,21/13",Elise Sand,Robin Kruksve Krux
2014/2015,Verdal Øradobbelen,13.09.2014,SEN D,Herredouble,Marius Olsen,Jørgen Olsen,Julie Kristin Vatterholm,Nordis Østerås Sandberg,"21/16,21/14",Marius Olsen,Jørgen Olsen
2014/2015,Verdal Øradobbelen,13.09.2014,SEN D,Herredouble,Andreas Futaker,Sindre Leander Johnsen,Tor Morten Aalberg,Kjell Kvarmesbakk,"21/15,21/19",Andreas Futaker,Sindre Leander Johnsen
2014/2015,Verdal Øradobbelen,13.09.2014,SEN D,Herredouble,Erik Winger,Jan Aage Nyborg,Tor Morten Aalberg,Kjell Kvarmesbakk,"21/16,21/9",Erik Winger,Jan Aage Nyborg
2014/2015,Verdal Øradobbelen,13.09.2014,SEN D,Herredouble,Erik Winger,Jan Aage Nyborg,Andreas Futaker,Sindre Leander Johnsen,"21/18,21/12",Erik Winger,Jan Aage Nyborg
