Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herresingle,,Kai Roger Stensen,,Rolf Ove Karlsen,"21/8,21/16",Kai Roger Stensen,
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herresingle,,Kai Roger Stensen,,Trond Mære,"21/14,21/13",Kai Roger Stensen,
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herresingle,,Rolf Ove Karlsen,,William R. Barø,"21/20,21/17",Rolf Ove Karlsen,
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herredouble,Rolf Ove Karlsen,Robert Barø,Amund Skavhaug,Rune Oterhals,"21/13,21/16",Rolf Ove Karlsen,Robert Barø
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herredouble,Kai Roger Stensen,Andreas Nordhøy,Kristoffer Kielland Rædergård,William R. Barø,"21/18,21/13",Kai Roger Stensen,Andreas Nordhøy
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herredouble,Kristoffer Kielland Rædergård,William R. Barø,Rolf Ove Karlsen,Robert Barø,"21/17,21/17",Kristoffer Kielland Rædergård,William R. Barø
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herredouble,Kai Roger Stensen,Andreas Nordhøy,Trond Mære,Roar Natvig,"21/8,21/10",Kai Roger Stensen,Andreas Nordhøy
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herredouble,Trond Mære,Roar Natvig,Rolf Ove Karlsen,Robert Barø,"21/14,21/18",Trond Mære,Roar Natvig
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herredouble,Kristoffer Kielland Rædergård,William R. Barø,Amund Skavhaug,Rune Oterhals,"17/21,24/22,21/11",Kristoffer Kielland Rædergård,William R. Barø
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herredouble,Trond Mære,Roar Natvig,Amund Skavhaug,Rune Oterhals,"21/12,21/17",Trond Mære,Roar Natvig
2023/2024,Verdal Øratreffen,16.09.2023,SEN A,Herredouble,Kai Roger Stensen,Andreas Nordhøy,Rolf Ove Karlsen,Robert Barø,"21/4,21/16",Kai Roger Stensen,Andreas Nordhøy
