Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Gonçalo Ribeiro,,Nils Even Urkedal,"21/15,21/11",Gonçalo Ribeiro,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Gonçalo Ribeiro,,Knut Hermann Stenvaag,"21/11,21/19",Gonçalo Ribeiro,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Gonçalo Ribeiro,,Vegar Næss,"21/18,21/6",Gonçalo Ribeiro,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Knut Hermann Stenvaag,,Vegar Næss,"12/21,23/21,21/14",Knut Hermann Stenvaag,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Nils Even Urkedal,,Robert Sulebakk,"21/19,26/28,21/19",Nils Even Urkedal,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Fredrik Lian,,Andreas Årseth Kvamme,"21/19,21/9",Fredrik Lian,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Nils Even Urkedal,,Fredrik Lian,"11/21,21/15,21/18",Nils Even Urkedal,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Robert Sulebakk,,Andreas Årseth Kvamme,"21/16,21/15",Robert Sulebakk,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Nils Even Urkedal,,Andreas Årseth Kvamme,"21/17,21/17",Nils Even Urkedal,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herresingle,,Fredrik Lian,,Robert Sulebakk,"18/21,21/8,21/17",Fredrik Lian,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Trine Sperre,,Mia Henriksen,"21/9,21/7",Trine Sperre,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Charlotte Aase,,Ragnhild Stenvaag,"14/21,21/12,21/13",Charlotte Aase,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Trine Sperre,,Ragnhild Stenvaag,"14/21,21/19,21/12",Trine Sperre,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Charlotte Aase,,Gunn Fiskergaard,"21/17,21/15",Charlotte Aase,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Gunn Fiskergaard,,Trine Sperre,"21/18,12/21,21/8",Gunn Fiskergaard,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Ragnhild Stenvaag,,Mia Henriksen,"21/14,21/9",Ragnhild Stenvaag,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Charlotte Aase,,Mia Henriksen,"21/10,21/15",Charlotte Aase,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Ragnhild Stenvaag,,Gunn Fiskergaard,"24/22,21/19",Ragnhild Stenvaag,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Charlotte Aase,,Trine Sperre,"21/13,21/16",Charlotte Aase,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damesingle,,Gunn Fiskergaard,,Mia Henriksen,"15/21,21/14,21/6",Gunn Fiskergaard,
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herredouble,Fredrik Lian,Nils Even Urkedal,Vegar Næss,Knut Hermann Stenvaag,"14/21,21/10,21/15",Fredrik Lian,Nils Even Urkedal
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herredouble,Fredrik Lian,Nils Even Urkedal,Gonçalo Ribeiro,Robert Sulebakk,"21/11,15/21,21/14",Fredrik Lian,Nils Even Urkedal
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Herredouble,Gonçalo Ribeiro,Robert Sulebakk,Vegar Næss,Knut Hermann Stenvaag,"21/10,21/15",Gonçalo Ribeiro,Robert Sulebakk
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damedouble,Anne-Margrethe Ulla Staurset,Ann-Kristin Mathisen Johnson,Charlotte Aase,Gunn Fiskergaard,"21/16,21/16",Anne-Margrethe Ulla Staurset,Ann-Kristin Mathisen Johnson
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damedouble,Anne-Margrethe Ulla Staurset,Ann-Kristin Mathisen Johnson,Ragnhild Stenvaag,Trine Sperre,"21/18,14/21,21/16",Anne-Margrethe Ulla Staurset,Ann-Kristin Mathisen Johnson
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Damedouble,Ragnhild Stenvaag,Trine Sperre,Charlotte Aase,Gunn Fiskergaard,"16/21,21/12,21/19",Ragnhild Stenvaag,Trine Sperre
2023/2024,Vigra IL Vigraspretten,20.04.2024,SEN A,Mixeddouble,Charlotte Aase,Robert Sulebakk,Vegar Næss,Ann-Kristin Mathisen Johnson,"21/12,21/14",Charlotte Aase,Robert Sulebakk
