Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Fredrik Lian,,Gonçalo Ribeiro,"21/14,11/21,21/5",Fredrik Lian,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Gonçalo Ribeiro,,Christian Asbjørnsen,"25/23,21/8",Gonçalo Ribeiro,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Gonçalo Ribeiro,,Noralf Gamlem,"21/5,21/6",Gonçalo Ribeiro,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Christian Asbjørnsen,,Noralf Gamlem,"21/19,21/8",Christian Asbjørnsen,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Fredrik Lian,,Lars Valentin,"21/13,21/16",Fredrik Lian,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Nils Even Urkedal,,Robert Sulebakk,"24/22,21/14",Nils Even Urkedal,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Robert Sulebakk,,Lars Valentin,"21/15,21/17",Robert Sulebakk,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Fredrik Lian,,Nils Even Urkedal,"21/15,21/18",Fredrik Lian,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Nils Even Urkedal,,Lars Valentin,"21/14,21/11",Nils Even Urkedal,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Fredrik Lian,,Robert Sulebakk,"21/10,29/27",Fredrik Lian,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Fredrik Lian,,Gonçalo Ribeiro,"21/14,11/21,21/5",Fredrik Lian,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Gonçalo Ribeiro,,Christian Asbjørnsen,"25/23,21/8",Gonçalo Ribeiro,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Gonçalo Ribeiro,,Noralf Gamlem,"21/5,21/6",Gonçalo Ribeiro,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Christian Asbjørnsen,,Noralf Gamlem,"21/19,21/8",Christian Asbjørnsen,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Fredrik Lian,,Lars Valentin,"21/13,21/16",Fredrik Lian,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Nils Even Urkedal,,Robert Sulebakk,"24/22,21/14",Nils Even Urkedal,
2023/2024,Ålesund Ålesundcupen 2023,30.09.2023,SEN A,,Robert Sulebakk,,Lars Valentin,"21/15,21/17",Robert Sulebakk,
