Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herresingle,,Robert Sulebakk,,Ørjan Emil Strand,"21/6,21/13",Robert Sulebakk,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herresingle,,Lars Valentin,,Thomas Pedersen,"21/11,21/19",Lars Valentin,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herresingle,,Lars Valentin,,Ørjan Emil Strand,"21/8,21/19",Lars Valentin,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herresingle,,Robert Sulebakk,,Thomas Pedersen,"21/17,21/16",Robert Sulebakk,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herresingle,,Robert Sulebakk,,Lars Valentin,"21/15,21/17",Robert Sulebakk,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herresingle,,Thomas Pedersen,,Ørjan Emil Strand,"21/5,21/11",Thomas Pedersen,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Damesingle,,Gunn Fiskergaard,,Elisabeth Hjellegjerde Skog,"21/11,21/17",Gunn Fiskergaard,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herredouble,Thomas Pedersen,Lars Valentin,Tommy Ulveraker,Robert Sulebakk,"21/17,19/21,21/19",Thomas Pedersen,Lars Valentin
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herredouble,Tommy Ulveraker,Robert Sulebakk,Per Ivar Furholm,Tor Stenvaag,"21/15,22/20",Tommy Ulveraker,Robert Sulebakk
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Herredouble,Thomas Pedersen,Lars Valentin,Per Ivar Furholm,Tor Stenvaag,"21/14,21/14",Thomas Pedersen,Lars Valentin
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Damedouble,Elisabeth Vatnehol Straumsheim,Elisabeth Hjellegjerde Skog,Sissel W. Schmidt,Gunn Fiskergaard,"21/18,16/21,21/16",Elisabeth Vatnehol Straumsheim,Elisabeth Hjellegjerde Skog
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Damedouble,Sissel W. Schmidt,Gunn Fiskergaard,Randi Ulla Nogva,Karoline Lerengen,"25/27,21/8,21/19",Sissel W. Schmidt,Gunn Fiskergaard
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Damedouble,Elisabeth Vatnehol Straumsheim,Elisabeth Hjellegjerde Skog,Randi Ulla Nogva,Karoline Lerengen,"21/15,21/17",Elisabeth Vatnehol Straumsheim,Elisabeth Hjellegjerde Skog
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Mixeddouble,Elisabeth Vatnehol Straumsheim,Robert Sulebakk,Randi Ulla Nogva,Tommy Ulveraker,"11/21,21/15,21/14",Elisabeth Vatnehol Straumsheim,Robert Sulebakk
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Mixeddouble,Sissel W. Schmidt,Lars Valentin,Randi Ulla Nogva,Tommy Ulveraker,"16/21,21/9,21/11",Sissel W. Schmidt,Lars Valentin
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Mixeddouble,Elisabeth Vatnehol Straumsheim,Robert Sulebakk,Elisabeth Hjellegjerde Skog,Thomas Pedersen,"13/21,21/12,21/17",Elisabeth Vatnehol Straumsheim,Robert Sulebakk
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Mixeddouble,Elisabeth Hjellegjerde Skog,Thomas Pedersen,Sissel W. Schmidt,Lars Valentin,"21/16,14/21,21/12",Elisabeth Hjellegjerde Skog,Thomas Pedersen
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Mixeddouble,Elisabeth Hjellegjerde Skog,Thomas Pedersen,Randi Ulla Nogva,Tommy Ulveraker,"21/23,21/14,21/15",Elisabeth Hjellegjerde Skog,Thomas Pedersen
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN A,Mixeddouble,Elisabeth Vatnehol Straumsheim,Robert Sulebakk,Sissel W. Schmidt,Lars Valentin,"21/16,21/18",Elisabeth Vatnehol Straumsheim,Robert Sulebakk
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN B,Herresingle,,Tor Stenvaag,,Erlend Dale,"21/11,21/8",Tor Stenvaag,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN B,Herresingle,,Tor Stenvaag,,Øyvind Støylen,"21/14,21/15",Tor Stenvaag,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN B,Herresingle,,Glenn Fylling,,Øyvind Støylen,"21/12,21/15",Glenn Fylling,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN B,Herresingle,,Tor Stenvaag,,Glenn Fylling,"21/17,18/21,21/19",Tor Stenvaag,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN B,Herresingle,,Erlend Dale,,Kjetil Knutsen,"21/12,21/9",Erlend Dale,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN B,Herresingle,,Erlend Dale,,Mats Nilsen,"21/11,21/5",Erlend Dale,
2014/2015,Ålesund Ålesundcupen,18.10.2014,SEN B,Herresingle,,Mats Nilsen,,Kjetil Knutsen,"21/14,21/13",Mats Nilsen,
