Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herresingle,,Gonçalo Ribeiro,,Thomas Pedersen,"21/19,21/15",Gonçalo Ribeiro,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herresingle,,Christian Asbjørnsen,,Knut Hermann Stenvaag,"21/14,13/21,21/12",Christian Asbjørnsen,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herresingle,,Gonçalo Ribeiro,,Christian Asbjørnsen,"21/11,21/8",Gonçalo Ribeiro,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herresingle,,Thomas Pedersen,,Vegard Strand,"21/13,21/19",Thomas Pedersen,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herresingle,,Fredrik Lian,,Vegard Strand,"21/12,21/9",Fredrik Lian,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herresingle,,Thomas Pedersen,,Fredrik Lian,"13/21,21/17,21/15",Thomas Pedersen,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damesingle,,Trine Sperre,,Gunn Fiskergaard,"21/18,21/15",Trine Sperre,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damesingle,,Heidi Hartmann,,Viktoria Humlen,"21/12,21/13",Heidi Hartmann,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damesingle,,Trine Sperre,,Viktoria Humlen,"21/15,21/15",Trine Sperre,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damesingle,,Trine Sperre,,Heidi Hartmann,"21/19,21/12",Trine Sperre,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damesingle,,Anne-Margrethe Ulla Staurset,,Ronja Hartmann,"23/21,21/19",Anne-Margrethe Ulla Staurset,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damesingle,,Gunn Fiskergaard,,Anne-Margrethe Ulla Staurset,"21/17,17/21,21/15",Gunn Fiskergaard,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damesingle,,Gunn Fiskergaard,,Ronja Hartmann,"21/16,19/21,21/13",Gunn Fiskergaard,
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herredouble,Nils Even Urkedal,Fredrik Lian,Gonçalo Ribeiro,Rune Tårnes,"21/18,21/19",Nils Even Urkedal,Fredrik Lian
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herredouble,Gonçalo Ribeiro,Rune Tårnes,Vegard Strand,Christian Asbjørnsen,"21/10,21/14",Gonçalo Ribeiro,Rune Tårnes
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Herredouble,Nils Even Urkedal,Fredrik Lian,Thomas Pedersen,Lars Valentin,"21/19,22/20",Nils Even Urkedal,Fredrik Lian
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damedouble,Inger Margrethe Midtlid,Gunn Fiskergaard,Trine Sperre,Viktoria Humlen,"21/18,21/16",Inger Margrethe Midtlid,Gunn Fiskergaard
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damedouble,Inger Margrethe Midtlid,Gunn Fiskergaard,Anne-Margrethe Ulla Staurset,Elisabeth Hjellegjerde Skog,"21/15,22/20",Inger Margrethe Midtlid,Gunn Fiskergaard
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damedouble,Ronja Hartmann,Heidi Hartmann,Trine Sperre,Viktoria Humlen,"21/19,15/21,21/13",Ronja Hartmann,Heidi Hartmann
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damedouble,Inger Margrethe Midtlid,Gunn Fiskergaard,Ronja Hartmann,Heidi Hartmann,"23/21,21/10",Inger Margrethe Midtlid,Gunn Fiskergaard
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damedouble,Trine Sperre,Viktoria Humlen,Anne-Margrethe Ulla Staurset,Elisabeth Hjellegjerde Skog,"21/16,21/15",Trine Sperre,Viktoria Humlen
2021/2022,Ålesund Ålesundsvippen 2022,26.03.2022,SEN A,Damedouble,Ronja Hartmann,Heidi Hartmann,Anne-Margrethe Ulla Staurset,Elisabeth Hjellegjerde Skog,"21/16,21/15",Ronja Hartmann,Heidi Hartmann
